,T,Age,AgeTag,Sex,yo1,yo1CF,y1,y1CF,yo2,yo2CF,y2,y2CF,yo3,yo3CF,y3,y3CF
121,-1.0,0.74,1.0,1.0,5.0,125.0,2.5395470818000385,128.2984394283879,81.8,151.8,81.99339354712107,158.50992059649934,44.8,151.8,43.666713062386016,154.3870815629462
413,-1.0,0.6799999999999999,1.0,-1.0,-75.0,-55.0,-72.09205703547006,-55.29885863374469,-86.4,-16.400000000000002,-93.81443892269694,-18.638597698507272,-86.4,17.599999999999998,-89.09499841343468,19.107893285076123
360,-1.0,0.9199999999999999,1.0,-1.0,-75.0,-55.0,-75.1236405753656,-56.48002081127414,-81.6,-11.600000000000001,-73.22871113216713,-17.99642604597961,-81.6,34.4,-79.09287913176114,35.00920523004667
182,-1.0,0.6799999999999999,1.0,1.0,5.0,125.0,7.96261854928167,122.76263384994381,77.6,147.6,77.54388355780002,144.79655375232562,43.599999999999994,147.6,45.53907982761687,148.03705253976764
383,-1.0,0.56,1.0,-1.0,-75.0,-55.0,-77.89166155079785,-53.00361328349293,-88.8,-18.799999999999997,-87.64646045355117,-28.191328004308165,-88.8,9.200000000000005,-84.67604094520432,10.155242048596081
450,-1.0,0.8400000000000001,1.0,-1.0,-75.0,-55.0,-82.10539283306092,-64.71580086937479,-83.2,-13.2,-82.14757229208018,-7.495876818331989,-83.2,28.800000000000008,-85.45328161420485,20.993102654878903
73,-1.0,0.72,1.0,1.0,5.0,125.0,2.766022247876547,130.77385648991032,80.4,150.4,75.58066778852655,147.18936281953347,44.4,150.4,43.62935179128905,152.92323810371383
354,-1.0,0.58,1.0,-1.0,-75.0,-55.0,-72.32981656930176,-47.35887200850137,-88.4,-18.4,-80.15949932748549,-19.709194278934802,-88.4,10.599999999999996,-85.51555734048641,20.123819229833906
12,-1.0,0.6799999999999999,1.0,1.0,5.0,125.0,3.39193645652574,128.7712373608616,77.6,147.6,75.78326347635354,141.6516534705903,43.599999999999994,147.6,46.65196119678025,144.63582475560816
422,-1.0,0.54,1.0,-1.0,-75.0,-55.0,-83.60085621071929,-44.148873818998496,-89.2,-19.2,-86.33454350306668,-26.043618204476807,-89.2,7.800000000000001,-89.34925016794531,9.129015199013097
426,-1.0,0.8,1.0,-1.0,-75.0,-55.0,-69.56325837361324,-55.35676410710879,-84.0,-14.0,-88.73857086682749,-8.20198946047393,-84.0,26.0,-79.4809702015325,24.36376731969183
24,-1.0,0.74,1.0,1.0,5.0,125.0,6.371309412920757,129.6765940662805,81.8,151.8,79.75647867134896,154.69384409165735,44.8,151.8,42.65553628039638,147.63548312030522
51,-1.0,1.0,1.0,1.0,5.0,125.0,8.938473492828129,135.50513444781896,100.0,170.0,105.62553603986764,172.13267272382862,50.0,170.0,46.53190559255508,161.84873789618229
453,-1.0,0.6,1.0,-1.0,-75.0,-55.0,-76.39139079458344,-49.50170827086751,-88.0,-18.0,-86.47855734947291,-17.437823018633317,-88.0,12.0,-81.52726580616489,14.800053140134505
477,-1.0,0.9,1.0,-1.0,-75.0,-55.0,-73.82151293060343,-54.106280744011244,-82.0,-12.0,-82.75412914426938,-12.57893481696691,-82.0,33.0,-84.90354258854197,33.93287710223001
306,-1.0,0.6799999999999999,1.0,-1.0,-75.0,-55.0,-74.11445548077586,-51.31588652171375,-86.4,-16.400000000000002,-88.8347976264971,-21.249065768740962,-86.4,17.599999999999998,-75.44775834632398,10.81473334127697
209,-1.0,0.8200000000000001,1.0,-1.0,-75.0,-55.0,-81.88911287259009,-56.2936582757855,-83.6,-13.599999999999994,-79.83750165999456,-7.694020175958737,-83.6,27.400000000000006,-82.6080107231682,26.648190704469084
151,-1.0,0.78,1.0,1.0,5.0,125.0,4.984366687725044,133.83267656884055,84.6,154.6,87.66015898660565,154.26997047103484,45.599999999999994,154.6,47.310577500815874,154.82210632542854
