,T,Age,AgeTag,Sex,yo1,yo1CF,y1,y1CF,yo2,yo2CF,y2,y2CF,yo3,yo3CF,y3,y3CF
158,-1.0,0.88,1.0,1.0,-65.0,195.0,-62.00344374605299,195.48568840814875,153.2,223.2,154.90635989148052,222.73738600042648,-14.0,223.2,-17.412324273413827,224.2711861657056
295,-1.0,0.66,1.0,-1.0,-5.0,-125.0,-4.169679220130228,-127.18223413415257,-133.0,-63.0,-134.78095604913082,-60.475960044418805,-133.0,62.400000000000006,-135.28818385064912,59.50011124373295
459,-1.0,0.88,1.0,-1.0,-5.0,-125.0,-5.696393848997284,-123.97204712842823,-144.0,-74.0,-144.15578710900812,-76.96959669479638,-144.0,93.19999999999999,-142.59289146371975,93.01046411092592
246,1.0,0.9,1.0,-1.0,-125.0,-5.0,-124.39169355091913,-6.225491912505263,-75.0,-145.0,-74.01489099142661,-146.1782972431994,96.0,-145.0,94.601918954083,-145.33726855918832
63,-1.0,0.54,1.0,1.0,-65.0,195.0,-63.61587789237321,196.04855682160493,105.6,175.6,105.87900517463503,173.6760667602636,2.999999999999993,175.6,4.233327644995697,176.38833567323337
71,-1.0,1.0,1.0,1.0,-65.0,195.0,-63.72904057808146,195.0088690156053,170.0,240.0,167.16357050850297,241.75744365833353,-20.0,240.0,-22.16238425007816,240.38267196875506
426,-1.0,0.7,1.0,-1.0,-5.0,-125.0,-1.8824464047414153,-122.09295870228557,-135.0,-65.0,-139.8990302980602,-64.66056867568385,-135.0,68.0,-134.7503777566487,69.36516933000034
271,-1.0,0.66,1.0,-1.0,-5.0,-125.0,-3.8584484311526683,-123.46949399998836,-133.0,-63.0,-133.59853773546124,-61.10974527118284,-133.0,62.400000000000006,-136.04482431225105,61.96366577491306
333,-1.0,0.94,1.0,-1.0,-5.0,-125.0,-6.291480675284818,-127.79478679473235,-147.0,-77.0,-145.3717227843818,-72.96126751672965,-147.0,101.6,-146.91922721893278,101.73907186174532
485,-1.0,0.58,1.0,-1.0,-5.0,-125.0,-4.730146848560321,-126.63564248750099,-129.0,-59.0,-129.00638242738762,-58.04872781625206,-129.0,51.19999999999999,-131.6372808653285,50.633011130399865
393,-1.0,0.72,1.0,-1.0,-5.0,-125.0,-4.7894304188598325,-121.16891031153585,-136.0,-66.0,-137.61445743963088,-68.0876161010189,-136.0,70.79999999999998,-136.10040260557744,73.00362796517629
486,-1.0,0.6,1.0,-1.0,-5.0,-125.0,-4.27730882694974,-123.77473750341687,-130.0,-60.0,-131.2457793815833,-59.7587412376376,-130.0,54.0,-129.6691846260272,52.91459650126368
298,-1.0,0.8400000000000001,1.0,-1.0,-5.0,-125.0,-4.302858387830649,-125.88154984418145,-142.0,-72.0,-141.55937018609936,-70.00471760628442,-142.0,87.60000000000002,-140.62561245924368,89.64406734837559
170,-1.0,0.9199999999999999,1.0,1.0,-65.0,195.0,-66.8587704079081,193.63862908971373,158.8,228.8,158.72497974092963,229.1638358144771,-15.999999999999986,228.8,-16.396930781482425,228.88441159729283
61,-1.0,0.76,1.0,1.0,-65.0,195.0,-67.82323493877274,194.48454480619625,136.4,206.39999999999998,137.36493506276295,203.52003686348004,-8.0,206.39999999999998,-9.036986833955588,205.72817648726908
341,-1.0,0.64,1.0,-1.0,-5.0,-125.0,-5.5465219464896975,-125.54873500041883,-132.0,-62.0,-129.62517285127424,-64.8957307589118,-132.0,59.60000000000001,-132.733040181398,61.82070550216586
253,1.0,0.6,1.0,-1.0,-125.0,-5.0,-125.70274981087583,-5.122710557195807,-60.0,-130.0,-59.854563301440265,-127.61196650606155,54.0,-130.0,50.50476406285318,-130.22044505435477
128,-1.0,0.7,1.0,1.0,-65.0,195.0,-65.94291070977602,194.0450883255155,128.0,198.0,130.85426728386932,200.82586768218624,-5.0,198.0,-6.04256152801671,199.27220230765863
172,-1.0,0.86,1.0,1.0,-65.0,195.0,-65.15462198411734,193.56977704531369,150.4,220.39999999999998,150.96809937473896,219.00587392821893,-13.0,220.39999999999998,-15.075680904199006,221.28862807036964
462,-1.0,0.9199999999999999,1.0,-1.0,-5.0,-125.0,-3.9653188503431505,-127.09087220694923,-146.0,-76.0,-144.41037132170217,-76.11023922760369,-146.0,98.79999999999998,-145.68888523733085,99.50334387914022
