,T,Age,AgeTag,Sex,yo1,yo1CF,y1,y1CF,yo2,yo2CF,y2,y2CF,yo3,yo3CF,y3,y3CF
291,-1.0,0.9199999999999999,1.0,-1.0,-15.0,-115.0,-5.804468137367259,-116.87117158566832,-136.79999999999998,-66.79999999999998,-141.6412120367013,-65.86333442719533,-136.79999999999998,89.6,-136.87679345566477,92.62183634133544
175,-1.0,0.6799999999999999,1.0,1.0,-55.0,185.0,-53.36577153782352,183.04076518662703,118.39999999999999,188.39999999999998,112.96891474862072,195.8309023266916,2.799999999999997,188.39999999999998,0.9481946068025573,186.45295257802167
34,-1.0,0.98,1.0,1.0,-55.0,185.0,-62.91915391931283,185.38080070346064,157.39999999999998,227.39999999999998,154.65562413078936,225.63626842869124,-9.200000000000003,227.39999999999998,-10.20414744763259,231.21450018540102
79,-1.0,0.78,1.0,1.0,-55.0,185.0,-58.10080244807437,180.862834013976,131.39999999999998,201.39999999999998,134.744433790944,201.09247496666194,-1.2000000000000028,201.39999999999998,-1.5784783026664657,198.69832441738438
163,-1.0,0.62,1.0,1.0,-55.0,185.0,-59.24812898799506,186.80429600271214,110.6,180.60000000000002,105.94670363182681,183.29520444749463,5.199999999999996,180.60000000000002,2.0410747278029637,183.67143257655502
447,-1.0,0.58,1.0,-1.0,-15.0,-115.0,-11.424086348012034,-114.44648301150612,-123.2,-53.2,-123.0364967385246,-45.71501183101228,-123.2,45.39999999999999,-116.74337037931109,44.19438951095421
244,1.0,0.8400000000000001,1.0,-1.0,-115.0,-15.0,-115.59063966047806,-12.47625521836538,-63.6,-133.6,-64.70255150686847,-136.87119887577052,79.20000000000002,-133.6,80.42876062369191,-133.9849848086994
44,-1.0,0.54,1.0,1.0,-55.0,185.0,-53.915722733904104,179.05529164356636,100.2,170.2,99.82481032650776,168.78960298022824,8.399999999999991,170.2,7.945710132520013,167.8747664517262
484,-1.0,0.94,1.0,-1.0,-15.0,-115.0,-13.920947078658696,-109.83960743627297,-137.6,-67.6,-133.34594274751458,-63.67942734434965,-137.6,92.19999999999999,-140.85358726183443,95.86325033152134
373,-1.0,0.88,1.0,-1.0,-15.0,-115.0,-19.014729995622602,-115.22450445580964,-135.2,-65.19999999999999,-133.34685851826785,-69.60026603573498,-135.2,84.4,-138.44877992042555,81.51045295997083
