,T,Age,AgeTag,Sex,yo1,yo1CF,y1,y1CF,yo2,yo2CF,y2,y2CF,yo3,yo3CF,y3,y3CF
86,0.0,0.72,1.0,1.0,65.0,195.0,60.996615704362135,195.73265957036094,165.8,200.8,163.52057561011105,203.93927317467362,97.4,200.8,96.32967946210798,198.12522559923784
491,0.0,0.9199999999999999,1.0,0.0,0.0,35.0,-2.9497243333988337,34.30463818534729,41.4,76.4,49.45726297644178,78.8041947183919,41.4,163.8,41.1056828402578,164.88386054052683
39,0.0,0.62,1.0,1.0,65.0,195.0,69.23393675087173,196.494108392487,151.8,186.8,149.71578415614698,183.28878073095925,92.9,186.8,94.47493784907016,181.09632006834667
255,0.0,0.56,1.0,1.0,65.0,195.0,66.22975838169276,189.05854778234308,143.4,178.4,141.42214005878168,169.64757163530197,90.2,178.4,86.94757720595608,185.6231892905267
51,0.0,0.94,1.0,1.0,65.0,195.0,69.40353134672772,193.46115210164612,196.6,231.60000000000002,189.21554459376154,223.34179677002942,107.3,231.60000000000002,110.25156157081192,235.57199158095543
416,0.0,0.58,1.0,0.0,0.0,35.0,5.516338160660532,39.79044921841407,26.099999999999998,61.099999999999994,25.280069539736708,62.05761218786236,26.099999999999998,116.19999999999999,23.26685786485527,114.62949173480581
458,0.0,0.94,1.0,0.0,0.0,35.0,3.122759310372836,31.763271342561023,42.3,77.3,49.012610538766936,71.863420513692,42.3,166.6,30.715677363856024,163.72735792016877
234,0.0,0.56,1.0,1.0,65.0,195.0,58.792697707441974,203.31452480139708,143.4,178.4,143.57907740158626,177.78502841978744,90.2,178.4,91.76012115285383,182.1442435775936
279,0.0,0.88,1.0,1.0,65.0,195.0,64.29650785974499,204.96627778605153,188.2,223.2,185.89088409272978,227.03475840983788,104.6,223.2,110.2060508382711,217.4736874582038
108,0.0,0.56,1.0,1.0,65.0,195.0,72.39934251294491,196.19443043162693,143.4,178.4,147.18660647818436,178.3377807765599,90.2,178.4,95.81478395847107,183.00811487889752
321,0.0,0.62,1.0,0.0,0.0,35.0,-1.367271663542433,29.89779149120825,27.9,62.9,28.95863166310148,67.58875733656953,27.9,121.8,29.34903523441343,127.41971135544642
383,0.0,0.8400000000000001,1.0,0.0,0.0,35.0,1.601560017977751,37.51485800216378,37.800000000000004,72.80000000000001,40.94914566391449,69.77849109158247,37.800000000000004,152.60000000000002,44.88903135975016,152.74631717408863
260,0.0,0.76,1.0,1.0,65.0,195.0,66.8306540138206,194.44228612136953,171.4,206.39999999999998,168.64605199069797,198.03542851736896,99.2,206.39999999999998,97.21226803939442,208.4054611560318
11,0.0,0.9199999999999999,1.0,1.0,65.0,195.0,67.47917556433535,200.66922972469746,193.8,228.8,205.67877251399665,223.218293664684,106.4,228.8,100.14301777119577,229.11773943240166
492,0.0,0.74,1.0,0.0,0.0,35.0,3.729832300983162,28.743886426328366,33.3,68.3,33.455008182591975,65.0132532426458,33.3,138.6,33.68782709134935,144.48548577173534
313,0.0,0.86,1.0,0.0,0.0,35.0,1.4339155069241951,43.24596333071811,38.7,73.7,50.33834347006052,73.16350716041097,38.7,155.4,31.37781432009294,149.06245419052863
495,0.0,0.8400000000000001,1.0,0.0,0.0,35.0,0.879557665852153,33.00512853086689,37.800000000000004,72.80000000000001,20.404536724518845,69.86372019127852,37.800000000000004,152.60000000000002,34.95524650194333,160.11885038386333
221,0.0,0.52,1.0,1.0,65.0,195.0,71.65187699860404,192.4763906080935,137.8,172.8,142.21462102681605,174.6970487759992,88.4,172.8,85.47340933803294,171.12347170220568
333,0.0,0.94,1.0,0.0,0.0,35.0,-6.275236750372298,18.053832013379022,42.3,77.3,42.820761987397596,73.82688207046009,42.3,166.6,36.15230688650128,161.96496735635898
30,0.0,1.0,1.0,1.0,65.0,195.0,69.27477106179265,198.0341334755408,205.0,240.0,198.12237580940172,240.5050494779262,110.0,240.0,105.38023256349804,246.40261749674343
275,0.0,0.88,1.0,1.0,65.0,195.0,58.39117879192618,191.83595740441524,188.2,223.2,188.64583768710298,224.49618895375824,104.6,223.2,101.44521957742366,229.08297223981378
357,0.0,0.64,1.0,0.0,0.0,35.0,-2.3416197811444244,36.09299236710261,28.8,63.8,29.587922653497888,59.687416664966364,28.8,124.6,34.26536312312571,125.61732206436658
447,0.0,0.98,1.0,0.0,0.0,35.0,-9.727680361614144,37.266445366769574,44.1,79.1,41.329101004017645,79.41348321816902,44.1,172.2,45.06366703652949,168.13977398374087
237,0.0,0.76,1.0,1.0,65.0,195.0,62.434042590227385,194.92574703327097,171.4,206.39999999999998,172.01528735458817,200.9691844577224,99.2,206.39999999999998,101.07680043108337,213.3337709937055
476,0.0,0.72,1.0,0.0,0.0,35.0,-0.8574115954078393,37.600228664739866,32.4,67.4,36.077887048050215,66.37601708349638,32.4,135.8,42.4256109186839,134.3718860723463
122,0.0,0.54,1.0,1.0,65.0,195.0,63.02147161027658,197.25848993657578,140.6,175.6,133.7168328758706,175.955631170183,89.3,175.6,90.98373658132766,171.58393296869914
