,T,Age,AgeTag,Sex,yo1,yo1CF,y1,y1CF,yo2,yo2CF,y2,y2CF,yo3,yo3CF,y3,y3CF
361,1.0,0.04,-1.0,-1.0,-55.0,-75.0,-58.45021896683763,-71.42592488319642,-29.2,-99.2,-36.12804326360704,-94.72682052021898,-27.2,-99.2,-24.84956025414872,-90.72894883715585
212,1.0,0.02,-1.0,1.0,125.0,5.0,125.34386286265564,5.697036947995645,101.4,31.4,100.29425021733773,34.182799399094534,101.4,30.4,110.38207149950112,34.319862256647546
223,-1.0,0.74,1.0,1.0,5.0,125.0,17.043640316303545,132.6495613367327,81.8,151.8,83.3954922748822,155.35212082962042,44.8,151.8,43.93488175127337,158.36117451894123
498,-1.0,0.14,-1.0,-1.0,-75.0,-55.0,-74.2006915898573,-40.10193050976406,-97.2,-27.2,-88.2064883488019,-30.990472185985475,-97.2,-20.2,-99.34213270205377,-28.34473842195927
400,-1.0,0.8,1.0,-1.0,-75.0,-55.0,-77.09064183410844,-47.53192894406176,-84.0,-14.0,-79.97443755903367,-10.037249737509285,-84.0,26.0,-77.32678570900687,28.49919658998831
248,-1.0,0.88,1.0,1.0,5.0,125.0,5.427685536893544,131.4318557708072,91.6,161.6,89.47497393069045,163.01982700068245,47.599999999999994,161.6,52.98479845940013,157.83684229826832
113,1.0,0.22,-1.0,1.0,125.0,5.0,125.12746126655733,6.609887705340789,115.4,45.4,109.32103654738441,47.87370889931995,115.4,34.4,118.05861165247164,37.42069635473206
63,1.0,0.02,-1.0,1.0,125.0,5.0,130.93990583555978,8.191138136521474,101.4,31.4,105.69982633246995,38.52739496550443,101.4,30.4,105.90693400615865,27.877854030880965
42,-1.0,0.6799999999999999,1.0,1.0,5.0,125.0,6.741685509696136,125.43988700704622,77.6,147.6,85.66908644646804,149.0701787838139,43.599999999999994,147.6,45.354079633510146,149.3797456998636
255,-1.0,0.76,1.0,-1.0,-75.0,-55.0,-76.15322479244156,-54.732830194684254,-84.8,-14.799999999999997,-81.58723433855818,-16.67018870471295,-84.8,23.200000000000003,-90.3222262907835,29.172714927561582
138,1.0,0.32,-1.0,1.0,125.0,5.0,130.96103099584633,-3.453670237989183,122.4,52.4,119.23492419650054,47.92158595978985,122.4,36.4,124.64033627647407,40.0275088197736
352,-1.0,0.54,1.0,-1.0,-75.0,-55.0,-66.24033738461769,-49.69638095627509,-89.2,-19.2,-94.34310477981833,-20.413177740580828,-89.2,7.800000000000001,-79.69216041913778,0.7007427351801168
335,-1.0,0.78,1.0,-1.0,-75.0,-55.0,-78.94635812000668,-50.16880227462579,-84.4,-14.399999999999999,-87.87217657401084,-13.509892028837918,-84.4,24.6,-84.53986933185536,25.447761443362662
328,1.0,0.32,-1.0,-1.0,-55.0,-75.0,-50.05636315916951,-72.08702525909999,-23.6,-93.6,-24.148755944815516,-101.14116409809904,-7.6,-93.6,-8.007064281468535,-99.92980142276365
231,-1.0,0.98,1.0,-1.0,-75.0,-55.0,-79.08917018500912,-57.005024934229894,-80.4,-10.399999999999999,-81.26040927998618,-8.74468303015614,-80.4,38.6,-72.91662609042507,35.697433392873506
167,-1.0,0.96,1.0,1.0,5.0,125.0,9.189060475139623,118.49682696480657,97.19999999999999,167.2,102.40334795610889,166.28206338604127,49.19999999999999,167.2,54.51755518273033,170.121131016293
36,-1.0,0.88,1.0,1.0,5.0,125.0,-6.4301915578909785,131.86897785997374,91.6,161.6,81.53013016377044,165.56771902328057,47.599999999999994,161.6,55.814270906528144,169.3856811085867
362,-1.0,0.7,1.0,-1.0,-75.0,-55.0,-83.07001770278808,-47.09064003610026,-86.0,-16.000000000000004,-80.6427196692452,-15.934420607120115,-86.0,18.999999999999996,-83.37238834526141,19.527180907849704
196,-1.0,0.94,1.0,1.0,5.0,125.0,8.571154286626056,129.77286864511154,95.8,165.8,95.72660285638491,164.7774436390781,48.8,165.8,49.38652640520268,165.46585327442853
66,1.0,0.12,-1.0,1.0,125.0,5.0,115.46442808341925,-4.101805281542385,108.4,38.4,108.40670823947508,28.315760100109767,108.4,32.4,107.67538747970409,38.009102522172974
265,-1.0,0.8,1.0,1.0,5.0,125.0,5.568339338724974,129.2532267671532,86.0,156.0,90.05775128065437,149.78573628406764,46.0,156.0,50.904508017816326,149.16907347346813
161,1.0,0.38,-1.0,1.0,125.0,5.0,126.381128330969,0.9021075302125121,126.6,56.6,126.52351000732195,57.45862626355933,126.6,37.6,126.41012251080572,38.41668854088192
223,1.0,0.42,-1.0,1.0,125.0,5.0,135.08715573193504,12.949135311843007,129.4,59.4,137.77556790178645,58.64434338613542,129.4,38.4,133.12691604454966,23.558318151068935
64,-1.0,0.62,1.0,1.0,5.0,125.0,4.406177633331381,129.77253473410195,73.4,143.4,69.68735356908668,133.2221139335792,42.4,143.4,41.58256320115672,147.6819697783025
209,-1.0,0.8200000000000001,1.0,-1.0,-75.0,-55.0,-81.88911287259009,-56.2936582757855,-83.6,-13.599999999999994,-79.83750165999456,-7.694020175958737,-83.6,27.400000000000006,-82.6080107231682,26.648190704469084
383,-1.0,0.56,1.0,-1.0,-75.0,-55.0,-77.89166155079785,-53.00361328349293,-88.8,-18.799999999999997,-87.64646045355117,-28.191328004308165,-88.8,9.200000000000005,-84.67604094520432,10.155242048596081
153,-1.0,0.56,1.0,1.0,5.0,125.0,5.845982246367724,129.38280346738952,69.2,139.20000000000002,63.71483437746382,141.3872454355944,41.2,139.20000000000002,31.426582482720605,130.57799268543755
424,1.0,0.42,-1.0,-1.0,-55.0,-75.0,-53.79659709182915,-78.38091689909092,-21.6,-91.6,-18.577058083068884,-92.02625097897125,-0.6000000000000014,-91.6,-2.8425460695113873,-85.87560356076061
65,-1.0,0.62,1.0,1.0,5.0,125.0,7.244227976425672,128.1005074461754,73.4,143.4,65.43186427967392,150.23481743803038,42.4,143.4,49.577548211320554,145.6288964274112
308,1.0,0.3,-1.0,-1.0,-55.0,-75.0,-54.92177798005238,-73.8181704242217,-24.0,-94.0,-21.53106226910578,-93.42564302229208,-9.0,-94.0,-11.548600704150427,-92.69746816800671
322,-1.0,0.66,1.0,-1.0,-75.0,-55.0,-74.92973400368028,-55.5753756165201,-86.8,-16.799999999999997,-84.8895795354773,-17.258656525836482,-86.8,16.200000000000003,-90.52155546439452,25.692268915112997
121,1.0,0.5,-1.0,1.0,125.0,5.0,121.47114352996962,5.516888846873549,135.0,65.0,137.20552929586952,63.458933922534584,135.0,40.0,135.16835608467562,38.34951660577042
151,-1.0,0.78,1.0,1.0,5.0,125.0,4.984366687725044,133.83267656884055,84.6,154.6,87.66015898660565,154.26997047103484,45.599999999999994,154.6,47.310577500815874,154.82210632542854
59,-1.0,0.88,1.0,1.0,5.0,125.0,12.27524602341775,126.03045213724153,91.6,161.6,90.28090240707624,161.33373902748448,47.599999999999994,161.6,44.984643066043034,161.3500119446492
30,-1.0,0.86,1.0,1.0,5.0,125.0,7.737251628640444,129.62072575207972,90.2,160.2,86.56070254372325,162.66837398110562,47.2,160.2,60.348589795333744,158.8473201817842
289,1.0,0.22,-1.0,1.0,125.0,5.0,127.26335130835318,-4.615155432298884,115.4,45.4,114.88149662915455,37.05221175774453,115.4,34.4,125.07065710186679,40.65591957530919
371,1.0,0.08,-1.0,-1.0,-55.0,-75.0,-46.60124945281589,-76.12325723317758,-28.4,-98.4,-18.25701365563886,-101.51634729494094,-24.4,-98.4,-32.26260073086573,-92.09695236734365
101,1.0,0.4,-1.0,1.0,125.0,5.0,125.59899269591469,7.489219419433246,128.0,58.0,131.04902001742752,56.097186736034764,128.0,38.0,131.20452199604813,45.67871364603814
199,1.0,0.2,-1.0,1.0,125.0,5.0,135.3531069452663,9.074276584078497,114.0,44.0,112.28543803334286,51.866531568099944,114.0,34.0,120.30232311118394,35.96100498589516
210,1.0,0.12,-1.0,-1.0,-55.0,-75.0,-65.74077722988253,-75.2071298738207,-27.6,-97.6,-20.43710784064906,-103.98197161040605,-21.6,-97.6,-28.23228940608334,-105.15363839511055
339,-1.0,0.7,1.0,-1.0,-75.0,-55.0,-66.17362384021534,-53.36305848497464,-86.0,-16.000000000000004,-82.35425978371786,-28.576855315734175,-86.0,18.999999999999996,-88.24740418955464,22.33667756087013
300,1.0,0.34,-1.0,-1.0,-55.0,-75.0,-49.14129666873029,-84.23527976182676,-23.2,-93.2,-22.056590816210544,-98.63721132851394,-6.199999999999999,-93.2,-5.550402692906523,-96.25411118971178
111,-1.0,1.0,1.0,1.0,5.0,125.0,12.678346000337132,124.8647326322549,100.0,170.0,92.38646377865835,172.4968194603443,50.0,170.0,48.94059630177008,172.62718521643228
71,1.0,0.24,-1.0,1.0,125.0,5.0,124.25613261220754,-0.42177002144104225,116.8,46.8,118.10840009406671,50.19982478442261,116.8,34.8,108.45570897474005,43.67267742216447
57,-1.0,0.52,1.0,1.0,5.0,125.0,-2.041799906261086,127.48317568441573,66.4,136.4,57.59040972594828,137.86490433431823,40.400000000000006,136.4,33.822880435844,133.16707135116013
262,1.0,0.2,-1.0,-1.0,-55.0,-75.0,-45.74228002148023,-70.76171787815548,-26.0,-96.0,-18.34206394340055,-91.88130673963683,-16.0,-96.0,-16.67333782343308,-102.27697969296307
80,-1.0,0.6799999999999999,1.0,1.0,5.0,125.0,7.812901335190589,123.42141541379553,77.6,147.6,75.54101576897266,148.0642550271026,43.599999999999994,147.6,42.10662557527871,156.04289061946935
470,1.0,0.06,-1.0,-1.0,-55.0,-75.0,-51.037986227870235,-72.48044338919311,-28.8,-98.8,-26.225245423992824,-100.4979361141298,-25.8,-98.8,-27.0418081442689,-95.08323230930598
