,T,Age,AgeTag,Sex,yo1,yo1CF,y1,y1CF,yo2,yo2CF,y2,y2CF,yo3,yo3CF,y3,y3CF
462,-1.0,0.8,1.0,-1.0,25.0,-155.0,23.444263795978834,-155.60894432433568,-39.00000000000001,-219.0,-33.5075988180341,-216.8109933208565,-164.0,106.0,-166.88260601877576,106.89397101937607
304,-1.0,0.56,1.0,-1.0,25.0,-155.0,24.95455823132923,-157.966800003536,-19.800000000000004,-199.8,-16.26481157003318,-196.81176759191254,-144.8,65.2,-141.7052614217141,65.86282614484068
136,-1.0,0.98,1.0,1.0,-95.0,225.0,-97.45682554661825,222.93777373501652,71.6,391.6,72.14473405287313,390.1309621169472,-48.400000000000006,266.6,-49.35037198767776,267.7248431041576
478,-1.0,0.6,1.0,-1.0,25.0,-155.0,27.596480752538593,-154.6286433266443,-23.0,-203.0,-24.82845732019168,-204.0130510150328,-148.0,72.0,-146.52468719209676,74.17691824602697
99,1.0,0.34,-1.0,1.0,225.0,-95.0,227.9757743421468,-94.6783210661773,282.8,-37.19999999999999,280.5929349181837,-37.866184999885945,157.8,2.799999999999997,160.496367664375,6.311478798807926
362,1.0,0.18,-1.0,-1.0,-155.0,25.0,-157.67095536230826,25.755676333789516,-169.4,10.600000000000009,-168.99667198376542,13.169260608293593,0.6000000000000014,-114.4,1.069507682307071,-114.00532407397559
60,1.0,0.14,-1.0,1.0,225.0,-95.0,222.655174875935,-93.79638890063475,248.8,-71.2,246.9317625401138,-71.57870312767194,123.8,18.799999999999997,122.5736825787951,21.791111442898927
433,1.0,0.06,-1.0,-1.0,-155.0,25.0,-152.89239691112454,22.042330034850966,-159.8,20.200000000000003,-158.03229907448835,21.057057181389553,-19.8,-104.8,-20.92686591396358,-107.33734657628125
421,-1.0,0.96,1.0,-1.0,25.0,-155.0,22.49160925635117,-158.6721187701888,-51.8,-231.8,-57.21074087819809,-231.61716735909886,-176.8,133.2,-176.3397522766169,130.59876426680526
198,-1.0,0.8400000000000001,1.0,1.0,-95.0,225.0,-96.5410367641451,225.7199725590061,47.800000000000026,367.8,48.344201726028075,362.1972481663487,-37.2,242.8,-37.552361296767614,243.02485096515466
308,1.0,0.22,-1.0,-1.0,-155.0,25.0,-156.0929179660909,28.867157296943205,-172.6,7.400000000000006,-174.71768246090411,2.725295013564816,7.399999999999999,-117.6,8.672243112922734,-114.01336948137269
58,-1.0,1.0,1.0,1.0,-95.0,225.0,-93.41000851746034,221.93482153110432,75.0,395.0,76.77684650223053,397.0366394450903,-50.0,270.0,-54.72916578026823,272.59910680669276
169,1.0,0.2,-1.0,1.0,225.0,-95.0,227.9299056421203,-95.66017734097007,259.0,-61.0,256.61011516371263,-62.21038478599849,134.0,14.0,137.56659300151128,20.616994064899405
177,-1.0,0.98,1.0,1.0,-95.0,225.0,-100.38462207584452,220.80459407315587,71.6,391.6,76.23436498951234,393.6997653994485,-48.400000000000006,266.6,-46.518315484949504,267.3136012171829
16,1.0,0.22,-1.0,1.0,225.0,-95.0,226.1997950088228,-99.91678975046207,262.4,-57.6,259.2435264846075,-59.854363780947466,137.4,12.399999999999999,136.25733090166597,14.475483485919305
95,-1.0,0.52,1.0,1.0,-95.0,225.0,-94.66861370558524,214.74390392855267,-6.599999999999994,313.4,-0.05994842764988739,313.63021740176407,-11.599999999999994,188.4,-17.695317225757744,190.26687284812485
115,-1.0,0.86,1.0,1.0,-95.0,225.0,-91.12797207763604,219.80681721973332,51.2,371.19999999999993,52.347349884881616,366.7373008680977,-38.8,246.2,-38.59824191279409,244.85503916526577
119,1.0,0.5,-1.0,1.0,225.0,-95.0,229.3852447169828,-99.08698310374221,310.0,-10.0,311.4899518203895,-9.218919567796156,185.0,-10.0,188.60182185654045,-11.656320154016536
315,1.0,0.48,-1.0,-1.0,-155.0,25.0,-154.25557082194385,25.661541785143566,-193.4,-13.400000000000006,-192.12490431422043,-17.750548155713005,51.599999999999994,-138.4,46.498108080660835,-139.65595033123796
298,-1.0,0.74,1.0,-1.0,25.0,-155.0,27.61475116906594,-154.73167675315943,-34.2,-214.2,-28.92628051846988,-218.49638105645695,-159.2,95.8,-158.02397981562714,93.70082456855515
96,-1.0,0.54,1.0,1.0,-95.0,225.0,-92.61234505836723,227.5775664242143,-3.1999999999999957,316.8,-2.1895525572467607,310.93539095022,-13.200000000000003,191.8,-16.084470980626246,191.7932886894612
319,-1.0,0.08,-1.0,1.0,-95.0,225.0,-97.73550973100517,229.52044742287524,-81.4,238.6,-82.83690251537277,244.4380701714164,23.6,113.6,22.16562097537398,115.13322233852507
203,-1.0,0.66,1.0,1.0,-95.0,225.0,-92.41218148490246,225.33229283919874,17.20000000000001,337.20000000000005,14.127923680815904,342.36635352442516,-22.799999999999997,212.2,-21.39506278604363,212.55104068460415
113,-1.0,0.6799999999999999,1.0,1.0,-95.0,225.0,-98.06613641813341,223.72100567073366,20.599999999999987,340.6,23.60221275588748,338.7204973039324,-24.39999999999999,215.59999999999997,-24.767666709875076,215.1948645326394
262,1.0,0.14,-1.0,-1.0,-155.0,25.0,-152.04704264841143,23.29498317637078,-166.20000000000002,13.799999999999997,-163.57552706007988,12.72373950641322,-6.199999999999999,-111.2,-1.1336343554999067,-113.42114378002937
300,-1.0,0.66,1.0,-1.0,25.0,-155.0,24.11373047796314,-154.00667215839263,-27.800000000000004,-207.8,-29.99566005762803,-210.56672521628215,-152.8,82.2,-153.77613178405105,77.2725361408289
178,1.0,0.36,-1.0,1.0,225.0,-95.0,223.41007659929977,-92.64816553576607,286.2,-33.8,287.3483825549057,-33.238951112540704,161.2,1.2000000000000028,168.48200645183687,7.071100471913464
341,-1.0,0.76,1.0,-1.0,25.0,-155.0,23.761875872268018,-158.78341439232406,-35.8,-215.8,-38.19259747404342,-214.10848174434898,-160.8,99.2,-156.51462984198503,101.48338096410518
392,-1.0,0.56,1.0,-1.0,25.0,-155.0,26.35169160345886,-152.7925548011233,-19.800000000000004,-199.8,-14.667039775116253,-202.3628257928359,-144.8,65.2,-149.20266204843404,63.82735582374016
27,1.0,0.32,-1.0,1.0,225.0,-95.0,221.1700219005357,-90.05283550310624,279.4,-40.59999999999999,281.2380610952632,-41.277883459551894,154.4,4.399999999999999,156.48430680883507,6.190657686656906
64,1.0,0.2,-1.0,1.0,225.0,-95.0,219.81381203698228,-99.38300892240441,259.0,-61.0,259.7226118382108,-59.50623562000553,134.0,14.0,128.29904840207118,13.981279095218042
447,1.0,0.34,-1.0,-1.0,-155.0,25.0,-150.34024506043096,24.077873076320312,-182.2,-2.200000000000017,-180.9100119462859,-5.3469402166471545,27.8,-127.2,28.3789953721648,-125.22701000794368
488,-1.0,0.2,-1.0,-1.0,25.0,-155.0,26.540279317120312,-158.09084274273667,9.0,-171.0,4.006874002014953,-170.66441604727473,-116.0,4.0,-117.89208227350635,-3.646036410994652
366,-1.0,0.96,1.0,-1.0,25.0,-155.0,24.311793096675153,-156.15704671171235,-51.8,-231.8,-55.844202028705595,-228.406373317916,-176.8,133.2,-173.9270344664197,135.61388752420797
89,-1.0,0.6,1.0,1.0,-95.0,225.0,-95.83289937143708,226.77903787480133,7.0,327.0,7.378074728051114,329.4171924504669,-18.0,202.0,-19.385405057326178,200.96165250599435
304,1.0,0.2,-1.0,-1.0,-155.0,25.0,-153.2211672185133,21.40222040760503,-171.0,9.0,-174.4726733865062,12.51964144179288,4.0,-116.0,1.6473903013341236,-117.95026912320824
197,-1.0,0.96,1.0,1.0,-95.0,225.0,-96.78756124017009,230.83984011794905,68.19999999999999,388.2,71.22797597071292,384.9622620794218,-46.80000000000001,263.2,-42.00224713889247,268.2185760161684
308,-1.0,0.64,1.0,-1.0,25.0,-155.0,22.984785774989703,-153.58994531358874,-26.200000000000003,-206.20000000000002,-23.66575943733412,-206.78567483929226,-151.2,78.8,-150.67017507913903,80.96449034434346
183,1.0,0.34,-1.0,1.0,225.0,-95.0,221.0938240942874,-93.28775473995408,282.8,-37.19999999999999,283.22839551443866,-37.85407138577271,157.8,2.799999999999997,160.50780251552314,0.2968789186345866
216,-1.0,0.78,1.0,1.0,-95.0,225.0,-91.72396755079795,225.68967295955846,37.599999999999994,357.6,38.47940433193236,357.39304282785406,-32.400000000000006,232.6,-27.75418982027912,236.6431604247711
91,-1.0,0.6799999999999999,1.0,1.0,-95.0,225.0,-90.85251191155636,222.03062708462798,20.599999999999987,340.6,18.43606131778214,337.45051793767556,-24.39999999999999,215.59999999999997,-29.906027074140706,215.9066436566726
296,1.0,0.34,-1.0,-1.0,-155.0,25.0,-155.8074116684192,29.318906361703142,-182.2,-2.200000000000017,-183.75728456587413,-4.199548891035798,27.8,-127.2,26.670149510622,-125.49773608992189
199,1.0,0.36,-1.0,1.0,225.0,-95.0,223.9648618295631,-95.68626821317693,286.2,-33.8,285.28710992316303,-35.718281827021684,161.2,1.2000000000000028,158.99768114061823,1.563200708732992
163,1.0,0.48,-1.0,1.0,225.0,-95.0,228.4441099500564,-91.93599090477223,306.6,-13.400000000000006,303.51013945371847,-11.506716422288205,181.6,-8.400000000000006,177.63921598215182,-10.382620810574277
114,-1.0,0.66,1.0,1.0,-95.0,225.0,-95.46317833075265,226.22887504189384,17.20000000000001,337.20000000000005,16.023566717708178,335.71727130969884,-22.799999999999997,212.2,-24.19141978845336,213.9851743220966
24,1.0,0.6,1.0,1.0,225.0,-95.0,227.0478354697832,-93.25210700820682,327.0,7.0,327.73272105356784,6.74986439473308,202.0,-18.0,199.82292952665935,-19.2650282793013
62,-1.0,1.0,1.0,1.0,-95.0,225.0,-97.34850652330306,229.26212808827256,75.0,395.0,77.15104350964253,394.46202046118947,-50.0,270.0,-51.342653849712555,268.9174320833363
381,1.0,0.44,-1.0,-1.0,-155.0,25.0,-156.0079808028849,27.08193152979763,-190.2,-10.200000000000003,-190.54472042392902,-12.944260754019016,44.8,-135.2,43.76134675099991,-134.53080062554764
256,1.0,0.34,-1.0,-1.0,-155.0,25.0,-153.6462335085172,24.121032068125484,-182.2,-2.200000000000017,-179.81720246071524,-0.7239797430242481,27.8,-127.2,27.843430964954155,-124.62532109905737
291,1.0,0.1,-1.0,-1.0,-155.0,25.0,-154.55441339762478,23.885641016769704,-163.0,17.0,-160.78726086396702,18.233147784646352,-13.0,-108.0,-6.532513263212209,-105.94450270751305
166,1.0,0.02,-1.0,1.0,225.0,-95.0,227.00736299532113,-93.31621722202281,228.4,-91.6,226.08793229106712,-91.43858995990779,103.4,28.4,103.60792965485871,22.2911449301659
329,-1.0,0.94,1.0,-1.0,25.0,-155.0,23.146931937783258,-155.3542072943411,-50.199999999999996,-230.2,-47.149623074581896,-228.96634364917833,-175.2,129.8,-177.37295449127728,129.20385632580192
324,1.0,0.2,-1.0,-1.0,-155.0,25.0,-161.74892811432835,28.17369974876109,-171.0,9.0,-169.3631899816027,14.641259078615708,4.0,-116.0,6.847717791526855,-113.62432105890088
294,1.0,0.26,-1.0,-1.0,-155.0,25.0,-158.08214723484068,22.587163162388702,-175.8,4.200000000000003,-172.06589632308996,6.594552176592824,14.200000000000003,-120.8,16.255317559855087,-119.05203034897897
458,1.0,0.26,-1.0,-1.0,-155.0,25.0,-154.52445899830033,25.756875070204586,-175.8,4.200000000000003,-176.90610214900533,2.8479243872309414,14.200000000000003,-120.8,14.667342465908789,-119.52451883626014
266,-1.0,0.6,1.0,-1.0,25.0,-155.0,22.630557635369673,-155.57992584842333,-23.0,-203.0,-23.835086051668675,-209.3560085642124,-148.0,72.0,-151.73283233847079,79.30660849399032
249,1.0,0.44,-1.0,-1.0,-155.0,25.0,-151.18002278576523,25.904316320159783,-190.2,-10.200000000000003,-191.02353579168988,-9.287900411497569,44.8,-135.2,40.904415189904704,-133.3418278961145
396,-1.0,0.74,1.0,-1.0,25.0,-155.0,30.952986583845856,-151.51013774076802,-34.2,-214.2,-38.5656208622106,-215.53606192651256,-159.2,95.8,-161.6726435480061,92.0548467284264
70,1.0,0.42,-1.0,1.0,225.0,-95.0,224.12976633161378,-92.53787783866494,296.4,-23.600000000000016,294.1203647893285,-21.910187568535715,171.4,-3.6000000000000014,165.71599041552113,-2.8211204273534096
74,-1.0,0.56,1.0,1.0,-95.0,225.0,-94.01185056674741,226.96848457288456,0.20000000000000995,320.2,6.0084562469465705,320.44364964776787,-14.799999999999997,195.2,-13.609403169659346,194.59301851083873
372,1.0,0.04,-1.0,-1.0,-155.0,25.0,-151.24712377337556,24.16331255181746,-158.2,21.799999999999997,-154.4860897903441,24.9516765092348,-23.2,-103.2,-21.085942865353832,-102.3585049247946
458,-1.0,0.98,1.0,-1.0,25.0,-155.0,26.157951470344557,-152.72264807599606,-53.4,-233.4,-56.027812117271694,-233.2018811014803,-178.4,136.6,-181.0469233388314,136.01277518621941
327,-1.0,0.58,1.0,1.0,-95.0,225.0,-93.4848163955681,223.50521713069423,3.599999999999987,323.6,2.2524976012816156,323.52283933678444,-16.400000000000006,198.6,-13.581572027637506,192.60780361144032
479,-1.0,0.36,-1.0,-1.0,25.0,-155.0,24.529524110696926,-155.79974383870604,-3.799999999999997,-183.79999999999998,-1.6232138910550091,-180.5086535600324,-128.8,31.2,-123.00119783397884,30.032580493187428
148,-1.0,0.62,1.0,1.0,-95.0,225.0,-95.609692530813,226.27806376357694,10.399999999999999,330.4,10.625894605535134,330.49592752136857,-19.6,205.4,-20.9912238719521,208.4917439878526
223,-1.0,1.0,1.0,1.0,-95.0,225.0,-92.00698090668017,225.42866706820467,75.0,395.0,76.92044908456715,394.10839747002274,-50.0,270.0,-51.26912134522834,269.9103753938496
