,T,Age,AgeTag,Sex,yo1,yo1CF,y1,y1CF,yo2,yo2CF,y2,y2CF,yo3,yo3CF,y3,y3CF
349,-1.0,0.84,1.0,-1.0,75.0,-85.0,75.49228051444454,-83.02680272070306,-62.0,-32.0,-65.52003342205451,-34.461858777621984,-62.0,127.6,-58.86587184887109,119.70851470954483
323,-1.0,0.12,1.0,-1.0,75.0,-85.0,75.57483155777572,-90.77841676266127,-26.0,3.9999999999999982,-33.51300777168452,8.088216525997305,-26.0,26.799999999999997,-35.55705250800055,34.06882203984424
275,-1.0,0.72,1.0,-1.0,75.0,-85.0,73.54187901811709,-89.91659734583709,-55.99999999999999,-25.999999999999993,-59.43109416565869,-18.820261049711867,-55.99999999999999,110.79999999999998,-62.06313602896702,117.50263952545907
332,-1.0,0.4,1.0,-1.0,75.0,-85.0,69.59475311688593,-86.8018040902892,-40.0,-10.0,-45.68584555362844,-7.892781191246872,-40.0,66.0,-43.604250985449134,66.65640936656315
304,-1.0,0.88,1.0,1.0,-105.0,115.0,-99.68164927983845,115.66299604556187,113.19999999999999,143.2,114.8901397787588,144.32003951711997,-53.99999999999999,143.2,-49.681362191801675,136.75679137973455
273,-1.0,0.32,1.0,-1.0,75.0,-85.0,86.80143485577148,-95.51855073154283,-36.0,-6.0000000000000036,-34.91004083977132,-11.868807805629505,-36.0,54.8,-42.35437133154301,49.8696609469021
347,-1.0,0.56,1.0,-1.0,75.0,-85.0,71.99667835980178,-89.55816777276662,-48.0,-18.0,-41.31965997517339,-29.739669387281808,-48.0,88.4,-53.04982388919875,86.55104748967896
9,-1.0,0.64,1.0,1.0,-105.0,115.0,-106.56367795797479,112.820480650328,79.60000000000001,109.6,75.00207489654055,107.25318410731808,-42.0,109.6,-51.01268526784199,111.85737774254204
396,-1.0,0.36,1.0,-1.0,75.0,-85.0,76.91158797332382,-77.09460064253197,-38.0,-7.9999999999999964,-37.27211647632822,-7.201575524083973,-38.0,60.39999999999999,-32.76014536486129,64.33431734460837
167,-1.0,0.08,1.0,1.0,-105.0,115.0,-107.11939756428634,125.114865704776,1.2000000000000002,31.200000000000003,-3.4379289460284896,24.66769591021079,-14.0,31.200000000000003,-17.144623208363456,26.08782174321731
111,-1.0,0.48,1.0,1.0,-105.0,115.0,-112.20853213896753,118.41212753717527,57.2,87.19999999999999,61.097608366525336,86.92489831511183,-34.0,87.19999999999999,-31.002149714638467,85.92514113756921
190,-1.0,0.08,1.0,1.0,-105.0,115.0,-105.75229054876195,115.23752497278082,1.2000000000000002,31.200000000000003,3.005889889650748,28.505372711286736,-14.0,31.200000000000003,-9.11940337351582,27.165329436320242
356,-1.0,0.92,1.0,-1.0,75.0,-85.0,73.93760944356222,-90.59435103012666,-66.0,-36.00000000000001,-56.33699800365099,-31.850333839199752,-66.0,138.8,-67.83684235975974,143.96459512600893
457,-1.0,0.2,1.0,-1.0,75.0,-85.0,80.08168411937687,-85.4725006608459,-30.0,0.0,-28.30008913842558,3.0522834924020845,-30.0,38.0,-24.889145671363522,35.986317559665196
296,-1.0,0.92,1.0,-1.0,75.0,-85.0,68.65561325277558,-89.40008758824303,-66.0,-36.00000000000001,-62.89991175528647,-44.240612166692806,-66.0,138.8,-74.37542436027685,143.16500445218296
87,-1.0,0.72,1.0,1.0,-105.0,115.0,-103.06967855449808,114.6338384118899,90.79999999999998,120.79999999999998,89.2482878562917,126.18613975426273,-45.99999999999999,120.79999999999998,-45.37804093629544,117.80692230127676
441,-1.0,0.08,1.0,-1.0,75.0,-85.0,71.24393673398889,-85.57600678795302,-24.0,5.999999999999999,-25.78700758867091,2.9266202629560083,-24.0,21.2,-19.815349800486572,19.44987994800414
7,-1.0,0.32,1.0,1.0,-105.0,115.0,-99.93238467248958,116.72759734234732,34.800000000000004,64.8,31.36655278862002,61.74612566862495,-26.0,64.8,-20.16105335608178,74.53038237421453
425,-1.0,0.96,1.0,-1.0,75.0,-85.0,70.64635847614731,-90.7247278278168,-68.0,-38.00000000000001,-65.5007253588419,-43.1157146193896,-68.0,144.4,-65.69857604646234,140.306158575658
444,-1.0,0.2,1.0,-1.0,75.0,-85.0,79.82020257313283,-87.47941280750057,-30.0,0.0,-31.727208218119113,2.71048409947308,-30.0,38.0,-29.181512375234007,39.913130156210194
407,-1.0,0.24,1.0,-1.0,75.0,-85.0,74.23130628171458,-76.20013842989792,-32.0,-2.0000000000000036,-38.40299799518346,2.392820739151892,-32.0,43.599999999999994,-35.57965655691476,44.36767390445429
169,-1.0,0.36,1.0,1.0,-105.0,115.0,-94.58180560901702,112.1859360639148,40.39999999999999,70.4,44.56258951820139,70.95708510093313,-27.999999999999996,70.4,-26.599814706612392,68.43620578389547
426,-1.0,0.24,1.0,-1.0,75.0,-85.0,68.5318680695292,-89.78462571304121,-32.0,-2.0000000000000036,-25.542399635982225,4.142888287584341,-32.0,43.599999999999994,-25.750133035031013,47.08807350313795
315,-1.0,0.08,1.0,-1.0,75.0,-85.0,77.50521562900363,-86.57587957025623,-24.0,5.999999999999999,-22.10922425165698,13.864032630605314,-24.0,21.2,-20.4026348509355,23.393176513602423
56,-1.0,0.84,1.0,1.0,-105.0,115.0,-112.07657730648117,120.31160900886296,107.6,137.6,99.79105439655612,137.0589427042136,-52.0,137.6,-44.787717485958,132.66081627293744
327,-1.0,0.32,1.0,-1.0,75.0,-85.0,71.63637763039027,-82.85666651654994,-36.0,-6.0000000000000036,-34.20054403812038,-3.84806047431824,-36.0,54.8,-32.372304395188564,52.39550213260415
278,-1.0,0.64,1.0,-1.0,75.0,-85.0,80.24429113556077,-78.17330692568042,-52.0,-22.000000000000007,-52.51745165749111,-21.1870848917285,-52.0,99.6,-49.982137945992676,101.90814953025794
409,-1.0,1.0,1.0,-1.0,75.0,-85.0,75.77946742371918,-85.52432291179804,-70.0,-40.0,-68.45542657807724,-37.94960840777934,-70.0,150.0,-79.49295160410033,146.47209568104708
64,-1.0,0.4,1.0,1.0,-105.0,115.0,-101.47190362305402,117.00519233409769,46.0,76.0,41.63143808782592,77.54581376824467,-30.0,76.0,-24.805316866727356,70.90148980281444
