,T,Age,AgeTag,Sex,yo1,yo1CF,y1,y1CF,yo2,yo2CF,y2,y2CF,yo3,yo3CF,y3,y3CF
218,-1.0,0.6,1.0,-1.0,-5.0,-125.0,-10.061906514857842,-123.82127623738441,-130.0,-60.0,-129.93916100694645,-59.37968638498856,-130.0,54.0,-127.32262003059695,62.08366939090767
108,-1.0,0.66,1.0,1.0,-65.0,195.0,-64.91762143304926,185.8273825221939,122.4,192.39999999999998,123.47230505142454,192.07336217597026,-3.0,192.39999999999998,-10.301351909592345,189.64400090240196
371,-1.0,0.8,1.0,-1.0,-5.0,-125.0,2.5297552868947353,-120.65487274746656,-140.0,-70.0,-138.17050255666885,-67.93984682707506,-140.0,82.0,-143.5134053080201,81.93468036836136
360,-1.0,0.9,1.0,-1.0,-5.0,-125.0,-7.352751337961939,-125.57310512135737,-145.0,-75.0,-146.458585039923,-69.44129460691852,-145.0,96.0,-140.20710971948736,99.7866404853806
22,-1.0,0.86,1.0,1.0,-65.0,195.0,-60.81563874429552,189.2962849669374,150.4,220.39999999999998,145.4757184486194,216.36237673527435,-13.0,220.39999999999998,-18.4042467660901,216.7057250043995
119,-1.0,0.76,1.0,1.0,-65.0,195.0,-63.68798598010526,191.7365393190155,136.4,206.39999999999998,133.11663174591015,205.69099408956777,-8.0,206.39999999999998,-12.787992650233587,204.7502607437075
447,-1.0,0.94,1.0,-1.0,-5.0,-125.0,-3.9969847123154527,-125.44256942340986,-147.0,-77.0,-144.07297272578708,-81.39059968535081,-147.0,101.6,-149.85487702412206,98.6088355483043
303,-1.0,0.72,1.0,-1.0,-5.0,-125.0,-8.508387668935017,-123.94395042115984,-136.0,-66.0,-133.6300210799355,-61.46495705401119,-136.0,70.79999999999998,-133.20679527267225,69.06462427593969
419,-1.0,0.64,1.0,-1.0,-5.0,-125.0,-1.6972040135742872,-119.30447775300453,-132.0,-62.0,-144.00290668651257,-63.83250982976236,-132.0,59.60000000000001,-131.75270426389983,68.24697273234561
346,-1.0,0.76,1.0,-1.0,-5.0,-125.0,-7.438382922714093,-132.09477356527395,-138.0,-68.0,-138.1434248553602,-63.70237090469271,-138.0,76.4,-132.1647595317009,75.75166490037341
176,-1.0,0.78,1.0,1.0,-65.0,195.0,-63.9821371591369,198.17028494773356,139.2,209.2,135.89851025640664,206.9476068568048,-9.000000000000014,209.2,-5.889430217201957,205.78182343741685
465,-1.0,0.62,1.0,-1.0,-5.0,-125.0,-1.2333197206687183,-131.29645201022643,-131.0,-61.0,-134.7678224715625,-53.22285065574215,-131.0,56.8,-128.1201957829467,51.932705079700824
259,-1.0,0.94,1.0,1.0,-65.0,195.0,-69.6813329993215,193.49695492904854,161.6,231.60000000000002,161.87917865052765,231.35824429930267,-17.0,231.60000000000002,-22.64210575800989,228.21307106994482
84,-1.0,0.54,1.0,1.0,-65.0,195.0,-61.25699629604239,195.1894431532445,105.6,175.6,103.06097528934674,168.96850032673814,2.999999999999993,175.6,-2.5477276957974713,175.72850833278858
405,-1.0,0.62,1.0,-1.0,-5.0,-125.0,-8.224640928584217,-123.23263261605703,-131.0,-61.0,-131.38544069864102,-72.66443114883819,-131.0,56.8,-130.25069965274912,54.338279050345676
321,-1.0,0.56,1.0,1.0,-65.0,195.0,-64.23010723717664,194.814994433429,108.4,178.4,114.2143148605706,173.85282468993563,2.0,178.4,6.06676275666921,183.17459237663613
185,-1.0,0.94,1.0,1.0,-65.0,195.0,-67.51886939689088,195.8854537636134,161.6,231.60000000000002,171.81087851159586,224.78505158575067,-17.0,231.60000000000002,-20.34355466488503,232.01031355327694
220,-1.0,0.7,1.0,1.0,-65.0,195.0,-65.8387264311436,194.68889375500842,128.0,198.0,127.26143573240185,188.7908956996919,-5.0,198.0,-3.569585647560324,192.07690119386967
223,-1.0,0.78,1.0,1.0,-65.0,195.0,-54.96824813349495,195.5815288516889,139.2,209.2,136.83365116664515,209.98159481434885,-9.000000000000014,209.2,-16.003892063182914,211.09315054644688
18,-1.0,0.9,1.0,1.0,-65.0,195.0,-65.63197118280671,196.8674362536427,156.0,226.0,165.0113257853944,230.03563435491958,-15.0,226.0,-20.933139823150817,225.76949209869244
389,-1.0,0.8400000000000001,1.0,-1.0,-5.0,-125.0,-7.12325309441173,-122.37169451430165,-142.0,-72.0,-146.30702668568284,-82.00275827974625,-142.0,87.60000000000002,-151.91027985010015,79.88333526779697
54,-1.0,0.56,1.0,1.0,-65.0,195.0,-68.28972479293665,192.52127907355515,108.4,178.4,106.52769588351194,179.23099637038342,2.0,178.4,0.9971697327381908,178.43191107380082
187,-1.0,0.54,1.0,1.0,-65.0,195.0,-59.65922216493936,196.0174872894855,105.6,175.6,99.99085416902578,180.69642208957126,2.999999999999993,175.6,2.4294890518636034,174.7461462582979
42,-1.0,0.54,1.0,1.0,-65.0,195.0,-65.38286408825,189.8131736923952,105.6,175.6,103.6792403186507,175.5382651031692,2.999999999999993,175.6,-1.8690615587426898,184.39176060077216
70,-1.0,0.8400000000000001,1.0,1.0,-65.0,195.0,-65.29524568750637,191.1576441823339,147.60000000000002,217.60000000000002,154.0305123124458,214.00411930718613,-12.0,217.60000000000002,-12.037511960686054,222.4424492708048
52,-1.0,0.86,1.0,1.0,-65.0,195.0,-59.713701496163054,196.05838837207398,150.4,220.39999999999998,152.99057329798723,218.26167605510813,-13.0,220.39999999999998,-12.176192943817098,221.97188769172033
81,-1.0,0.6,1.0,1.0,-65.0,195.0,-64.47014295577544,199.7794401071807,114.0,184.0,114.4893354606622,187.59373918277498,0.0,184.0,-7.1820295287927705,188.24478024165091
350,-1.0,0.86,1.0,-1.0,-5.0,-125.0,-3.872629510994264,-122.64711991462995,-143.0,-73.0,-146.09063030968682,-79.33607886409658,-143.0,90.4,-147.39183687010814,81.10176482023053
242,-1.0,0.6,1.0,-1.0,-5.0,-125.0,-9.204255682587021,-132.0276742876695,-130.0,-60.0,-138.26267480430784,-58.350992581370456,-130.0,54.0,-122.3016804506272,46.993328297504085
434,-1.0,0.7,1.0,-1.0,-5.0,-125.0,0.4853911618061275,-125.05807995222163,-135.0,-65.0,-136.83910520315882,-63.88783378679408,-135.0,68.0,-143.99003309757043,62.50715203731958
373,-1.0,0.98,1.0,-1.0,-5.0,-125.0,-1.0928001755667611,-127.20036506793777,-149.0,-79.0,-154.99075672295862,-74.47856619762177,-149.0,107.19999999999999,-146.93042923134513,109.01307951127225
182,-1.0,0.7,1.0,1.0,-65.0,195.0,-55.17957987029465,193.0619483646452,128.0,198.0,122.00344330383219,192.95554661350704,-5.0,198.0,-7.518251654644392,197.3149758364461
156,-1.0,0.52,1.0,1.0,-65.0,195.0,-68.34311047698294,194.0489794269325,102.80000000000001,172.8,97.51370273676515,169.27216249491886,4.000000000000007,172.8,1.159143948395255,167.45477543323744
345,-1.0,0.86,1.0,-1.0,-5.0,-125.0,2.1484530463326577,-123.07911897343897,-143.0,-73.0,-144.61793267240898,-68.31659260750585,-143.0,90.4,-140.62975711678433,86.40266947951487
126,-1.0,0.58,1.0,1.0,-65.0,195.0,-63.25839846912961,194.11627943843683,111.19999999999999,181.2,116.5944342981476,178.8764441824742,1.0,181.2,1.99342871043259,183.09415430479075
372,-1.0,0.6,1.0,-1.0,-5.0,-125.0,-2.1923423912182303,-128.67893576341777,-130.0,-60.0,-121.27186652884629,-62.627618287276114,-130.0,54.0,-126.84301546607047,56.353847037318275
170,-1.0,0.52,1.0,1.0,-65.0,195.0,-68.5826959160769,194.0335287285378,102.80000000000001,172.8,111.13020953548377,174.85400940713333,4.000000000000007,172.8,4.93119740179787,172.63018248975823
414,-1.0,1.0,1.0,-1.0,-5.0,-125.0,-11.442217196409814,-127.9077412216714,-150.0,-80.0,-146.28919204197626,-82.17068304256361,-150.0,110.0,-149.53406354011003,121.02647171073593
65,-1.0,0.64,1.0,1.0,-65.0,195.0,-68.86201574176768,189.983673859865,119.6,189.60000000000002,118.17833145211685,190.46901228563343,-2.000000000000007,189.60000000000002,0.09450307418480364,185.5867559693715
314,-1.0,0.56,1.0,1.0,-65.0,195.0,-56.21484134730414,197.8160935649354,108.4,178.4,112.10612066861859,178.522334969471,2.0,178.4,-1.5018518760964312,180.06167158742508
417,-1.0,0.8,1.0,-1.0,-5.0,-125.0,-4.122694863191112,-119.34302243605104,-140.0,-70.0,-136.55893687870568,-70.30022771082808,-140.0,82.0,-138.61351065710002,91.48723650593675
89,-1.0,0.9,1.0,1.0,-65.0,195.0,-85.71529217545759,195.18646596603276,156.0,226.0,156.06385907808604,225.28564266367934,-15.0,226.0,-16.87044265835338,223.6310362662075
319,-1.0,0.96,1.0,-1.0,-5.0,-125.0,-5.882313746275354,-127.13714777988254,-148.0,-78.0,-155.69357461353394,-87.3359629589274,-148.0,104.4,-146.276357874709,103.96382988084436
97,-1.0,0.6,1.0,1.0,-65.0,195.0,-74.27262354595443,200.54117099295996,114.0,184.0,109.82366265038783,195.81577400961493,0.0,184.0,-3.7007725978930326,186.09056799986536
78,-1.0,0.52,1.0,1.0,-65.0,195.0,-57.930148846162055,194.04009193672968,102.80000000000001,172.8,96.87829128132391,166.2659700271441,4.000000000000007,172.8,6.845698329557055,178.60146196231184
491,-1.0,0.6799999999999999,1.0,-1.0,-5.0,-125.0,-18.209510470552956,-127.51310782468184,-134.0,-64.0,-131.4611343679978,-67.758388815734,-134.0,65.19999999999999,-144.39077637908696,64.42134469302015
180,-1.0,1.0,1.0,1.0,-65.0,195.0,-56.04793671824149,196.76703946369597,170.0,240.0,167.0414181295427,244.7193478275246,-20.0,240.0,-8.790283067393908,237.6017355950513
155,-1.0,0.76,1.0,1.0,-65.0,195.0,-66.48593776789853,191.51871741551787,136.4,206.39999999999998,134.42084144869924,203.26906074163165,-8.0,206.39999999999998,-8.062330026196285,205.4655001321159
14,-1.0,0.62,1.0,1.0,-65.0,195.0,-69.42827484571819,193.32071091830397,116.8,186.8,121.3822521419312,181.89935722839164,-1.0,186.8,3.632298914619474,188.68967551016982
161,-1.0,0.96,1.0,1.0,-65.0,195.0,-64.76987580296245,206.31256225289928,164.39999999999998,234.39999999999998,156.17485445663618,235.77857673288523,-18.000000000000014,234.39999999999998,-16.737405121921924,233.25677651172418
