,T,Age,AgeTag,Sex,yo1,yo1CF,y1,y1CF,yo2,yo2CF,y2,y2CF,yo3,yo3CF,y3,y3CF
132,-1.0,0.8400000000000001,1.0,1.0,-240.0,260.0,-241.91885978393952,257.2215378381473,212.00000000000006,312.0,207.1538220171908,315.2494013255143,-124.00000000000001,312.0,-125.19703358728297,311.24369001496103
363,-1.0,0.78,1.0,-1.0,140.0,-160.0,136.92439053935306,-152.56984730707237,-138.0,-38.0,-140.44192398052274,-34.73846599577787,-138.0,274.0,-131.4935252093232,278.9088941137242
106,-1.0,0.6,1.0,1.0,-240.0,260.0,-240.9676235051074,267.3678243568552,140.0,240.0,146.54808009883533,240.26646213395205,-100.0,240.0,-102.25460182603804,238.9935147210952
96,-1.0,0.8,1.0,1.0,-240.0,260.0,-252.40183648899665,260.82232715419997,200.0,300.0,199.69272889921712,298.10166377120134,-120.0,300.0,-126.46611229707763,293.24978117628905
105,-1.0,0.9,1.0,1.0,-240.0,260.0,-240.0324975844655,265.57169356896594,230.0,330.0,225.75562716146993,336.02486870827937,-130.0,330.0,-127.45157731393543,330.87867965187536
253,-1.0,0.76,1.0,1.0,-240.0,260.0,-240.6812400645444,267.8802131478475,188.0,288.0,195.9990187299809,288.67443867285357,-116.0,288.0,-122.30233281335698,295.6334637373018
116,-1.0,0.9,1.0,1.0,-240.0,260.0,-246.12407985353306,261.2897577660786,230.0,330.0,232.25795402514296,337.1927222145307,-130.0,330.0,-132.93523558340365,324.51490976419694
11,-1.0,0.72,1.0,1.0,-240.0,260.0,-246.23050878748802,267.3210511850918,176.0,276.0,187.0999727418803,282.0806758777905,-112.0,276.0,-116.25623324926886,282.5902198765065
498,-1.0,0.7,1.0,-1.0,140.0,-160.0,141.23702430595847,-148.7880986793462,-130.0,-30.0,-127.89137450996931,-18.240167795361245,-130.0,250.0,-129.84937726732258,256.670733125015
456,-1.0,0.76,1.0,-1.0,140.0,-160.0,135.1401805856325,-164.86871301009384,-136.0,-36.0,-122.67894568267154,-30.008051387326777,-136.0,268.0,-136.81294442818083,262.5409097431658
477,-1.0,0.72,1.0,-1.0,140.0,-160.0,144.23318238846204,-163.20025505172543,-132.0,-32.0,-140.45233563496873,-34.54493761464407,-132.0,256.0,-144.36976844222406,245.65444057123818
403,-1.0,0.98,1.0,-1.0,140.0,-160.0,133.02821904522997,-165.70108571056247,-158.0,-58.0,-155.5153591667148,-60.8115362525794,-158.0,334.0,-155.45620706234072,323.2292441994462
384,-1.0,0.94,1.0,-1.0,140.0,-160.0,131.36962137621555,-157.88706916287757,-154.0,-54.0,-162.070267352823,-53.82422308270994,-154.0,322.0,-157.55736035256038,322.16117419018536
458,-1.0,0.6,1.0,-1.0,140.0,-160.0,125.66417426828662,-161.35780627925635,-120.0,-20.0,-119.51480290643796,-16.563284436291013,-120.0,220.0,-124.0834539281179,218.2380469981646
286,-1.0,0.72,1.0,-1.0,140.0,-160.0,159.31703194231198,-161.83996921806008,-132.0,-32.0,-130.75416539470314,-39.148575010427066,-132.0,256.0,-119.01557334668972,262.52042102022324
165,-1.0,0.94,1.0,1.0,-240.0,260.0,-235.83689255034065,258.64226926865666,242.0,342.0,252.86211978553953,333.936415004214,-134.0,342.0,-130.26804023318098,344.9036341739211
485,-1.0,0.78,1.0,-1.0,140.0,-160.0,138.25879657458188,-163.48049324045897,-138.0,-38.0,-143.5117261015641,-37.97938891518403,-138.0,274.0,-135.93272443174743,277.1661597083977
453,-1.0,0.94,1.0,-1.0,140.0,-160.0,140.75468854888365,-163.3052691711583,-154.0,-54.0,-148.38017253678046,-44.64028550326118,-154.0,322.0,-155.76883675243656,323.28819412899213
258,-1.0,1.0,1.0,1.0,-240.0,260.0,-242.3554898526798,265.20090459916923,260.0,360.0,262.2964191455078,363.288904710239,-140.0,360.0,-132.82725278750695,357.49914821725895
52,-1.0,0.7,1.0,1.0,-240.0,260.0,-241.7521805489262,257.4038818078515,170.0,270.0,172.6015400134465,275.27870488444927,-110.0,270.0,-106.73496061397276,272.8841236081557
24,-1.0,0.96,1.0,1.0,-240.0,260.0,-237.20119046654338,264.70594483402544,248.0,348.0,247.53539261143646,348.2674455619066,-136.0,348.0,-127.97729528975349,355.7162335310683
356,-1.0,0.7,1.0,-1.0,140.0,-160.0,138.10467411576838,-156.86377392219052,-130.0,-30.0,-137.6679185835064,-33.006000328376246,-130.0,250.0,-126.71256654700771,239.67618987802462
353,-1.0,0.8200000000000001,1.0,-1.0,140.0,-160.0,141.69046913886822,-164.09641690427682,-142.0,-42.0,-132.3944200024003,-36.801174923940394,-142.0,286.0,-142.48087716052632,293.7952362466354
271,-1.0,0.78,1.0,1.0,-240.0,260.0,-240.15304823375934,260.93806141156136,194.0,294.0,192.26341597049498,306.7367405494681,-118.0,294.0,-117.47394432267657,295.8225762110653
37,-1.0,0.52,1.0,1.0,-240.0,260.0,-248.7115083117039,256.87979963131687,116.0,216.0,118.50771714189602,218.416025183398,-92.0,216.0,-97.03272824802772,219.73449675270473
382,-1.0,0.98,1.0,-1.0,140.0,-160.0,136.92254143827984,-161.17080455258034,-158.0,-58.0,-161.02380506536718,-55.84431389775456,-158.0,334.0,-153.76225897267543,319.07439078816776
99,-1.0,0.86,1.0,1.0,-240.0,260.0,-234.70238471148485,256.1626727607816,218.0,318.0,221.88772405217802,315.4790796335499,-126.0,318.0,-127.75448505614642,313.80471833896905
204,-1.0,0.78,1.0,1.0,-240.0,260.0,-228.43288998554377,264.8624553151931,194.0,294.0,193.89384116574172,287.93731194631135,-118.0,294.0,-127.12106655151761,302.9870206718141
408,-1.0,0.98,1.0,-1.0,140.0,-160.0,141.58334905262797,-158.70299342171825,-158.0,-58.0,-158.40961210985515,-68.71708644063213,-158.0,334.0,-160.92418042238236,341.8499320466417
66,-1.0,0.6799999999999999,1.0,1.0,-240.0,260.0,-238.28845881408685,258.97740323084787,164.0,264.0,164.434369732692,251.93974161479986,-108.0,264.0,-110.36965791963759,266.4054956054226
58,-1.0,0.62,1.0,1.0,-240.0,260.0,-244.18181500422588,259.90287478015006,146.0,246.0,147.84261377639461,237.1161219157381,-102.0,246.0,-92.62684811570982,244.61388705957478
434,-1.0,0.64,1.0,-1.0,140.0,-160.0,134.9757788099911,-166.94942076104,-124.0,-24.0,-121.56116353085274,-22.486953894535223,-124.0,232.0,-124.19340544529086,235.35671504583198
234,-1.0,1.0,1.0,1.0,-240.0,260.0,-246.10947711375897,262.31777844571616,260.0,360.0,265.4787634920924,361.6891113951365,-140.0,360.0,-142.81553046238614,358.6191368080907
341,-1.0,0.56,1.0,-1.0,140.0,-160.0,138.9214356235678,-156.78171132274957,-116.0,-16.000000000000014,-113.2418251991362,-22.524476645173525,-116.0,208.0,-121.32665696021067,205.78946119218074
266,-1.0,0.86,1.0,-1.0,140.0,-160.0,142.2176298020326,-159.34582707148155,-146.0,-46.0,-149.41021832826857,-39.58854750312793,-146.0,298.0,-151.60074769866694,294.68780356159135
185,-1.0,0.56,1.0,-1.0,140.0,-160.0,133.54666703357165,-157.8403468383076,-116.0,-16.000000000000014,-118.77460897175229,-14.415841488451052,-116.0,208.0,-116.57411897178959,209.6813051146304
254,-1.0,0.76,1.0,1.0,-240.0,260.0,-231.42488038480232,261.3887354074032,188.0,288.0,189.85902025714452,287.9226228675214,-116.0,288.0,-125.10228346971574,281.48703956292223
409,-1.0,0.62,1.0,-1.0,140.0,-160.0,147.99028944488418,-161.63640145002083,-122.0,-22.0,-126.3932548723114,-13.579503007336161,-122.0,226.0,-129.95785058113847,239.07757211509133
293,-1.0,0.96,1.0,-1.0,140.0,-160.0,139.4074653576403,-159.18404619179958,-156.0,-56.0,-157.5582085890009,-55.350923970288875,-156.0,328.0,-163.9881861827401,335.156037353478
40,-1.0,0.74,1.0,1.0,-240.0,260.0,-235.75027810444772,259.8120057498227,182.0,282.0,182.25149936790172,279.3030331290795,-114.0,282.0,-109.54219056629152,278.1059080948476
141,-1.0,0.94,1.0,1.0,-240.0,260.0,-226.46952484881177,253.63232545876866,242.0,342.0,240.95924492822954,337.7795073106634,-134.0,342.0,-133.65405734070055,353.611940733394
196,-1.0,0.7,1.0,1.0,-240.0,260.0,-238.82996647755732,259.24539572008047,170.0,270.0,162.57028626784108,263.5371153506904,-110.0,270.0,-106.62603635790592,271.2245060049257
48,-1.0,0.64,1.0,1.0,-240.0,260.0,-235.6338867415839,253.41499243923718,152.0,252.0,156.94774949257138,258.65603514103105,-104.0,252.0,-100.22561842917906,253.9291066259411
352,-1.0,0.58,1.0,-1.0,140.0,-160.0,146.08814534683873,-166.35071698952427,-118.0,-17.999999999999986,-117.7188478474923,-13.243574257047701,-118.0,214.0,-124.39256722894481,206.51173709028117
277,-1.0,0.72,1.0,-1.0,140.0,-160.0,144.53687729507348,-160.89206573031413,-132.0,-32.0,-132.73248955735693,-32.54079155413939,-132.0,256.0,-135.33705915927752,258.4844082771591
199,-1.0,0.86,1.0,1.0,-240.0,260.0,-234.28476090231484,259.83675905090587,218.0,318.0,215.1505718992202,314.5993017912506,-126.0,318.0,-121.08327722271228,311.97979071776814
49,-1.0,0.94,1.0,1.0,-240.0,260.0,-237.57810083999732,256.09318705128624,242.0,342.0,239.29181301463387,342.3788352375463,-134.0,342.0,-131.6494489483553,337.37254297758574
440,-1.0,0.96,1.0,-1.0,140.0,-160.0,141.3760386171187,-166.9846777742846,-156.0,-56.0,-158.61908012634836,-49.951939231889924,-156.0,328.0,-153.3444425948026,331.1564614185921
144,-1.0,0.98,1.0,1.0,-240.0,260.0,-239.65929461083317,265.29345793420913,254.0,354.0,251.66797924816598,357.6606051214905,-138.0,354.0,-140.21656144425918,361.22792200008365
272,-1.0,0.74,1.0,-1.0,140.0,-160.0,135.28388751192463,-166.90331783125384,-134.0,-34.0,-130.9673724446041,-42.28365120240819,-134.0,262.0,-135.27522323053032,255.29021317414833
223,-1.0,0.7,1.0,1.0,-240.0,260.0,-242.1538108059323,261.8472570477378,170.0,270.0,172.94675645880022,269.44582114101155,-110.0,270.0,-108.32394859275203,280.20984214910584
467,-1.0,0.96,1.0,-1.0,140.0,-160.0,129.61229006336356,-161.88657123825868,-156.0,-56.0,-153.64646353696386,-47.07550828916195,-156.0,328.0,-155.66256134995183,330.58875352266483
179,-1.0,0.52,1.0,1.0,-240.0,260.0,-246.67576126483806,258.7719566146581,116.0,216.0,125.54027118153311,209.4342366997265,-92.0,216.0,-95.4430132303953,214.07874162454561
112,-1.0,0.72,1.0,1.0,-240.0,260.0,-241.10903272485368,261.86166519876843,176.0,276.0,178.34202507914878,281.5447928321687,-112.0,276.0,-106.7966987804913,278.1746997332116
3,-1.0,0.96,1.0,1.0,-240.0,260.0,-245.90742578912787,264.293744643024,248.0,348.0,245.96585980687894,353.8652876170601,-136.0,348.0,-138.21777096686608,338.0912482482775
317,-1.0,0.58,1.0,-1.0,140.0,-160.0,138.96944116800498,-159.53514007613748,-118.0,-17.999999999999986,-124.00808062384107,-16.304968093428702,-118.0,214.0,-119.57231231597288,221.56440849881943
93,-1.0,0.7,1.0,1.0,-240.0,260.0,-240.20123708439738,272.1602225747215,170.0,270.0,178.75184060439616,262.7968308925919,-110.0,270.0,-105.9222061091836,271.8297083546442
285,-1.0,0.98,1.0,-1.0,140.0,-160.0,139.496129276582,-159.85727078223948,-158.0,-58.0,-157.32693628110994,-50.89475297980292,-158.0,334.0,-152.94284276816677,337.1213443978453
127,-1.0,0.58,1.0,1.0,-240.0,260.0,-246.35954643334694,263.14754603133383,133.99999999999997,234.0,131.6051459446298,223.58615710067804,-98.0,234.0,-98.81191013344521,236.69550736581826
36,-1.0,0.94,1.0,1.0,-240.0,260.0,-241.23481517012667,258.2857658330011,242.0,342.0,252.0712198370305,343.399174617206,-134.0,342.0,-129.83454301075474,334.1998511338997
235,-1.0,0.72,1.0,1.0,-240.0,260.0,-242.51157040106216,260.8116792915844,176.0,276.0,175.95163032693793,275.3226355384178,-112.0,276.0,-106.90962679654972,268.2677851596522
174,-1.0,0.76,1.0,1.0,-240.0,260.0,-251.63666499913822,264.1887677587452,188.0,288.0,194.04388061465013,284.7340171133556,-116.0,288.0,-109.47837657961952,289.1063707350487
378,-1.0,0.74,1.0,-1.0,140.0,-160.0,138.2372774045518,-157.63605022763602,-134.0,-34.0,-123.84606733311031,-33.19123468755613,-134.0,262.0,-138.98935802485207,256.01568513978214
208,-1.0,0.8,1.0,1.0,-240.0,260.0,-245.8644782876641,263.35863459333643,200.0,300.0,192.5348784906897,305.94514541146714,-120.0,300.0,-112.20700734734787,294.8221500935818
25,-1.0,0.8200000000000001,1.0,1.0,-240.0,260.0,-235.1612587630574,244.89321848013583,206.0,306.0,209.47354644743154,310.1744155684176,-122.0,306.0,-117.58409071794908,299.186912147101
239,-1.0,0.74,1.0,-1.0,140.0,-160.0,137.71773121632222,-166.36861717210797,-134.0,-34.0,-134.65960919569764,-36.41106279570221,-134.0,262.0,-134.7764855201123,263.8790198627062
347,-1.0,0.86,1.0,-1.0,140.0,-160.0,142.9429325851912,-164.8023919898375,-146.0,-46.0,-149.78737511612516,-48.34666423456467,-146.0,298.0,-152.4338971924884,293.7559324853174
178,-1.0,0.96,1.0,1.0,-240.0,260.0,-238.4968632711022,254.9570302669389,248.0,348.0,245.28035216641592,345.2404912107186,-136.0,348.0,-143.99818400802775,346.1294949258558
85,-1.0,1.0,1.0,1.0,-240.0,260.0,-240.3144255947619,261.7836597707514,260.0,360.0,260.8613475479377,362.7147624280206,-140.0,360.0,-147.33631765878812,357.4631916360718
280,-1.0,0.9,1.0,-1.0,140.0,-160.0,138.91002258233434,-162.22071239754794,-150.0,-50.0,-147.4941281465094,-38.699166866567936,-150.0,310.0,-141.6693373338321,317.84644483826503
