,T,Age,AgeTag,Sex,yo1,yo1CF,y1,y1CF,yo2,yo2CF,y2,y2CF,yo3,yo3CF,y3,y3CF
441,-1.0,0.76,1.0,-1.0,-5.0,-125.0,-6.4951169632370815,-127.27522828251931,-138.0,-68.0,-141.824469405219,-65.9324212263335,-138.0,76.4,-137.02305272349616,73.36194141355014
246,-1.0,0.86,1.0,1.0,-65.0,195.0,-64.14680901066492,182.79511328318245,150.4,220.39999999999998,149.5698999036646,224.73058694680125,-13.0,220.39999999999998,-16.498249777691218,217.3839352481516
284,-1.0,0.86,1.0,1.0,-65.0,195.0,-72.8031249609327,197.16087201942167,150.4,220.39999999999998,151.09004695534176,225.05689452752972,-13.0,220.39999999999998,-15.751426371956303,228.6656868922285
76,-1.0,0.86,1.0,1.0,-65.0,195.0,-61.958532327095426,185.01839351241793,150.4,220.39999999999998,147.70389167009566,228.1749140890188,-13.0,220.39999999999998,-15.025679316126393,224.04268783247701
468,-1.0,0.7,1.0,-1.0,-5.0,-125.0,-2.9166038074582583,-125.87195532825051,-135.0,-65.0,-132.10598944001512,-69.13713700906841,-135.0,68.0,-132.60085560235368,62.8251283008356
231,1.0,0.9,1.0,-1.0,-125.0,-5.0,-124.05843244928059,0.4420186365753107,-75.0,-145.0,-73.96654120878662,-151.26305708997333,96.0,-145.0,92.37192862751992,-148.40060302952594
495,-1.0,0.76,1.0,-1.0,-5.0,-125.0,-9.933198735156727,-121.33324411829585,-138.0,-68.0,-155.01066246856166,-67.14081197067242,-138.0,76.4,-140.38560687043554,85.085732654795
415,-1.0,0.72,1.0,-1.0,-5.0,-125.0,-10.568382450063925,-129.44171438193166,-136.0,-66.0,-126.48039681884092,-66.09798096366502,-136.0,70.79999999999998,-135.71738250846488,72.69534344323047
422,-1.0,0.86,1.0,-1.0,-5.0,-125.0,-7.736896745071471,-124.92130332446085,-143.0,-73.0,-149.1460982817722,-75.51610322405618,-143.0,90.4,-142.3806287721348,87.99218587518587
464,-1.0,0.62,1.0,-1.0,-5.0,-125.0,-12.500321727906163,-123.2252561078654,-131.0,-61.0,-139.84058474506563,-62.743232609433875,-131.0,56.8,-130.20296515957068,55.32063137052842
406,-1.0,0.78,1.0,-1.0,-5.0,-125.0,-9.777196817677194,-127.01184323486652,-139.0,-69.0,-136.05293855850317,-73.05338435612931,-139.0,79.20000000000002,-139.94431185402837,80.07087685882897
484,-1.0,0.6799999999999999,1.0,-1.0,-5.0,-125.0,-6.968634351318488,-124.18806605972453,-134.0,-64.0,-132.30268154941743,-60.799801211011065,-134.0,65.19999999999999,-142.18260676601028,62.62894425028948
295,1.0,0.62,1.0,-1.0,-125.0,-5.0,-119.02151805378838,-9.358698988585356,-61.0,-131.0,-69.3886101370276,-126.10234610220341,56.8,-131.0,54.9495514713915,-121.53116902601482
1,1.0,0.76,1.0,1.0,195.0,-65.0,195.7821586744405,-68.08557812581799,206.39999999999998,136.4,209.8072052044343,135.77886988233115,206.39999999999998,-8.0,199.10388598975626,-6.981880968856293
168,-1.0,0.98,1.0,1.0,-65.0,195.0,-61.9411230169066,189.0273330441198,167.2,237.2,161.68382485141018,239.34885779616204,-19.0,237.2,-18.485030144044817,239.87148972609467
