,T,Age,AgeTag,Sex,yo1,yo1CF,y1,y1CF,yo2,yo2CF,y2,y2CF,yo3,yo3CF,y3,y3CF
98,1.0,0.48,-1.0,1.0,195.0,-65.0,195.0,-65.0,167.2,97.19999999999999,167.2,97.19999999999999,167.2,5.999999999999993,167.2,5.999999999999993
492,-1.0,0.86,1.0,-1.0,-5.0,-125.0,-5.0,-125.0,-143.0,-73.0,-143.0,-73.0,-143.0,90.4,-143.0,90.4
297,1.0,0.96,1.0,-1.0,-125.0,-5.0,-125.0,-5.0,-78.0,-148.0,-78.0,-148.0,104.4,-148.0,104.4,-148.0
273,1.0,0.98,1.0,-1.0,-125.0,-5.0,-125.0,-5.0,-79.0,-149.0,-79.0,-149.0,107.19999999999999,-149.0,107.19999999999999,-149.0
323,1.0,0.48,-1.0,-1.0,-125.0,-5.0,-125.0,-5.0,-54.0,-124.0,-54.0,-124.0,37.2,-124.0,37.2,-124.0
208,-1.0,0.6799999999999999,1.0,1.0,-65.0,195.0,-65.0,195.0,125.19999999999999,195.2,125.19999999999999,195.2,-4.0,195.2,-4.0,195.2
284,1.0,0.2,-1.0,-1.0,-125.0,-5.0,-125.0,-5.0,-40.0,-110.0,-40.0,-110.0,-2.0,-110.0,-2.0,-110.0
450,-1.0,0.52,1.0,-1.0,-5.0,-125.0,-5.0,-125.0,-126.0,-56.0,-126.0,-56.0,-126.0,42.8,-126.0,42.8
119,1.0,0.9,1.0,1.0,195.0,-65.0,195.0,-65.0,226.0,156.0,226.0,156.0,226.0,-15.0,226.0,-15.0
184,-1.0,0.2,-1.0,1.0,-65.0,195.0,-65.0,195.0,58.0,128.0,58.0,128.0,20.0,128.0,20.0,128.0
179,-1.0,0.6,1.0,1.0,-65.0,195.0,-65.0,195.0,114.0,184.0,114.0,184.0,0.0,184.0,0.0,184.0
209,-1.0,0.2,-1.0,1.0,-65.0,195.0,-65.0,195.0,58.0,128.0,58.0,128.0,20.0,128.0,20.0,128.0
466,-1.0,0.34,-1.0,-1.0,-5.0,-125.0,-5.0,-125.0,-117.0,-47.0,-117.0,-47.0,-117.0,17.600000000000005,-117.0,17.600000000000005
149,-1.0,0.5,-1.0,1.0,-65.0,195.0,-65.0,195.0,100.0,170.0,100.0,170.0,5.0,170.0,5.0,170.0
185,-1.0,0.22,-1.0,1.0,-65.0,195.0,-65.0,195.0,60.8,130.8,60.8,130.8,19.0,130.8,19.0,130.8
105,1.0,0.12,-1.0,1.0,195.0,-65.0,195.0,-65.0,116.80000000000001,46.8,116.80000000000001,46.8,116.80000000000001,24.0,116.80000000000001,24.0
426,-1.0,0.54,1.0,-1.0,-5.0,-125.0,-5.0,-125.0,-127.0,-57.0,-127.0,-57.0,-127.0,45.60000000000001,-127.0,45.60000000000001
3,1.0,0.08,-1.0,1.0,195.0,-65.0,195.0,-65.0,111.19999999999999,41.2,111.19999999999999,41.2,111.19999999999999,26.0,111.19999999999999,26.0
478,-1.0,0.58,1.0,-1.0,-5.0,-125.0,-5.0,-125.0,-129.0,-59.0,-129.0,-59.0,-129.0,51.19999999999999,-129.0,51.19999999999999
368,1.0,0.38,-1.0,-1.0,-125.0,-5.0,-125.0,-5.0,-49.0,-119.0,-49.0,-119.0,23.200000000000003,-119.0,23.200000000000003,-119.0
486,-1.0,0.74,1.0,-1.0,-5.0,-125.0,-5.0,-125.0,-137.0,-67.0,-137.0,-67.0,-137.0,73.6,-137.0,73.6
289,1.0,0.8,1.0,-1.0,-125.0,-5.0,-125.0,-5.0,-70.0,-140.0,-70.0,-140.0,82.0,-140.0,82.0,-140.0
90,1.0,0.8200000000000001,1.0,1.0,195.0,-65.0,195.0,-65.0,214.8,144.8,214.8,144.8,214.8,-11.0,214.8,-11.0
340,1.0,0.32,-1.0,-1.0,-125.0,-5.0,-125.0,-5.0,-46.0,-116.0,-46.0,-116.0,14.800000000000002,-116.0,14.800000000000002,-116.0
275,1.0,0.02,-1.0,-1.0,-125.0,-5.0,-125.0,-5.0,-31.0,-101.0,-31.0,-101.0,-27.200000000000003,-101.0,-27.200000000000003,-101.0
347,1.0,0.46,-1.0,-1.0,-125.0,-5.0,-125.0,-5.0,-53.0,-123.0,-53.0,-123.0,34.400000000000006,-123.0,34.400000000000006,-123.0
269,1.0,0.4,-1.0,-1.0,-125.0,-5.0,-125.0,-5.0,-50.0,-120.0,-50.0,-120.0,26.0,-120.0,26.0,-120.0
399,-1.0,1.0,1.0,-1.0,-5.0,-125.0,-5.0,-125.0,-150.0,-80.0,-150.0,-80.0,-150.0,110.0,-150.0,110.0
242,-1.0,0.36,-1.0,1.0,-65.0,195.0,-65.0,195.0,80.4,150.4,80.4,150.4,12.000000000000007,150.4,12.000000000000007,150.4
460,-1.0,0.22,-1.0,-1.0,-5.0,-125.0,-5.0,-125.0,-111.0,-41.0,-111.0,-41.0,-111.0,0.7999999999999972,-111.0,0.7999999999999972
62,1.0,0.26,-1.0,1.0,195.0,-65.0,195.0,-65.0,136.4,66.4,136.4,66.4,136.4,17.000000000000004,136.4,17.000000000000004
302,1.0,0.56,1.0,-1.0,-125.0,-5.0,-125.0,-5.0,-58.0,-128.0,-58.0,-128.0,48.400000000000006,-128.0,48.400000000000006,-128.0
15,1.0,0.32,-1.0,1.0,195.0,-65.0,195.0,-65.0,144.8,74.8,144.8,74.8,144.8,13.999999999999996,144.8,13.999999999999996
364,1.0,0.3,-1.0,-1.0,-125.0,-5.0,-125.0,-5.0,-45.0,-115.0,-45.0,-115.0,12.0,-115.0,12.0,-115.0
22,1.0,0.96,1.0,1.0,195.0,-65.0,195.0,-65.0,234.39999999999998,164.39999999999998,234.39999999999998,164.39999999999998,234.39999999999998,-18.000000000000014,234.39999999999998,-18.000000000000014
133,-1.0,0.18,-1.0,1.0,-65.0,195.0,-65.0,195.0,55.2,125.19999999999999,55.2,125.19999999999999,21.000000000000004,125.19999999999999,21.000000000000004,125.19999999999999
283,1.0,0.18,-1.0,-1.0,-125.0,-5.0,-125.0,-5.0,-39.0,-109.0,-39.0,-109.0,-4.800000000000001,-109.0,-4.800000000000001,-109.0
114,1.0,0.8,1.0,1.0,195.0,-65.0,195.0,-65.0,212.0,142.0,212.0,142.0,212.0,-10.0,212.0,-10.0
201,-1.0,0.04,-1.0,1.0,-65.0,195.0,-65.0,195.0,35.6,105.6,35.6,105.6,28.0,105.6,28.0,105.6
494,-1.0,0.9,1.0,-1.0,-5.0,-125.0,-5.0,-125.0,-145.0,-75.0,-145.0,-75.0,-145.0,96.0,-145.0,96.0
55,1.0,0.62,1.0,1.0,195.0,-65.0,195.0,-65.0,186.8,116.8,186.8,116.8,186.8,-1.0,186.8,-1.0
260,1.0,0.22,-1.0,-1.0,-125.0,-5.0,-125.0,-5.0,-41.0,-111.0,-41.0,-111.0,0.7999999999999972,-111.0,0.7999999999999972,-111.0
268,1.0,0.88,1.0,-1.0,-125.0,-5.0,-125.0,-5.0,-74.0,-144.0,-74.0,-144.0,93.19999999999999,-144.0,93.19999999999999,-144.0
298,1.0,0.48,-1.0,-1.0,-125.0,-5.0,-125.0,-5.0,-54.0,-124.0,-54.0,-124.0,37.2,-124.0,37.2,-124.0
402,-1.0,0.06,-1.0,-1.0,-5.0,-125.0,-5.0,-125.0,-103.0,-33.0,-103.0,-33.0,-103.0,-21.6,-103.0,-21.6
70,1.0,0.9199999999999999,1.0,1.0,195.0,-65.0,195.0,-65.0,228.8,158.8,228.8,158.8,228.8,-15.999999999999986,228.8,-15.999999999999986
310,1.0,0.22,-1.0,-1.0,-125.0,-5.0,-125.0,-5.0,-41.0,-111.0,-41.0,-111.0,0.7999999999999972,-111.0,0.7999999999999972,-111.0
473,-1.0,0.98,1.0,-1.0,-5.0,-125.0,-5.0,-125.0,-149.0,-79.0,-149.0,-79.0,-149.0,107.19999999999999,-149.0,107.19999999999999
128,-1.0,0.08,-1.0,1.0,-65.0,195.0,-65.0,195.0,41.2,111.19999999999999,41.2,111.19999999999999,26.0,111.19999999999999,26.0,111.19999999999999
328,1.0,0.58,1.0,-1.0,-125.0,-5.0,-125.0,-5.0,-59.0,-129.0,-59.0,-129.0,51.19999999999999,-129.0,51.19999999999999,-129.0
256,1.0,0.14,-1.0,-1.0,-125.0,-5.0,-125.0,-5.0,-37.0,-107.0,-37.0,-107.0,-10.399999999999999,-107.0,-10.399999999999999,-107.0
20,1.0,0.9199999999999999,1.0,1.0,195.0,-65.0,195.0,-65.0,228.8,158.8,228.8,158.8,228.8,-15.999999999999986,228.8,-15.999999999999986
249,-1.0,0.5,-1.0,1.0,-65.0,195.0,-65.0,195.0,100.0,170.0,100.0,170.0,5.0,170.0,5.0,170.0
467,-1.0,0.36,-1.0,-1.0,-5.0,-125.0,-5.0,-125.0,-118.0,-48.0,-118.0,-48.0,-118.0,20.399999999999995,-118.0,20.399999999999995
455,-1.0,0.62,1.0,-1.0,-5.0,-125.0,-5.0,-125.0,-131.0,-61.0,-131.0,-61.0,-131.0,56.8,-131.0,56.8
429,-1.0,0.1,-1.0,-1.0,-5.0,-125.0,-5.0,-125.0,-105.0,-35.0,-105.0,-35.0,-105.0,-16.0,-105.0,-16.0
498,-1.0,0.98,1.0,-1.0,-5.0,-125.0,-5.0,-125.0,-149.0,-79.0,-149.0,-79.0,-149.0,107.19999999999999,-149.0,107.19999999999999
294,1.0,0.9,1.0,-1.0,-125.0,-5.0,-125.0,-5.0,-75.0,-145.0,-75.0,-145.0,96.0,-145.0,96.0,-145.0
145,-1.0,0.42,-1.0,1.0,-65.0,195.0,-65.0,195.0,88.8,158.8,88.8,158.8,9.0,158.8,9.0,158.8
447,-1.0,0.46,-1.0,-1.0,-5.0,-125.0,-5.0,-125.0,-123.0,-53.0,-123.0,-53.0,-123.0,34.400000000000006,-123.0,34.400000000000006
268,1.0,0.38,-1.0,-1.0,-125.0,-5.0,-125.0,-5.0,-49.0,-119.0,-49.0,-119.0,23.200000000000003,-119.0,23.200000000000003,-119.0
120,1.0,0.9199999999999999,1.0,1.0,195.0,-65.0,195.0,-65.0,228.8,158.8,228.8,158.8,228.8,-15.999999999999986,228.8,-15.999999999999986
110,1.0,0.22,-1.0,1.0,195.0,-65.0,195.0,-65.0,130.8,60.8,130.8,60.8,130.8,19.0,130.8,19.0
360,1.0,0.22,-1.0,-1.0,-125.0,-5.0,-125.0,-5.0,-41.0,-111.0,-41.0,-111.0,0.7999999999999972,-111.0,0.7999999999999972,-111.0
39,1.0,0.3,-1.0,1.0,195.0,-65.0,195.0,-65.0,142.0,72.0,142.0,72.0,142.0,15.0,142.0,15.0
353,1.0,0.58,1.0,-1.0,-125.0,-5.0,-125.0,-5.0,-59.0,-129.0,-59.0,-129.0,51.19999999999999,-129.0,51.19999999999999,-129.0
295,1.0,0.9199999999999999,1.0,-1.0,-125.0,-5.0,-125.0,-5.0,-76.0,-146.0,-76.0,-146.0,98.79999999999998,-146.0,98.79999999999998,-146.0
134,-1.0,0.7,1.0,1.0,-65.0,195.0,-65.0,195.0,128.0,198.0,128.0,198.0,-5.0,198.0,-5.0,198.0
152,-1.0,0.56,1.0,1.0,-65.0,195.0,-65.0,195.0,108.4,178.4,108.4,178.4,2.0,178.4,2.0,178.4
17,1.0,0.36,-1.0,1.0,195.0,-65.0,195.0,-65.0,150.4,80.4,150.4,80.4,150.4,12.000000000000007,150.4,12.000000000000007
358,1.0,0.18,-1.0,-1.0,-125.0,-5.0,-125.0,-5.0,-39.0,-109.0,-39.0,-109.0,-4.800000000000001,-109.0,-4.800000000000001,-109.0
300,1.0,0.52,1.0,-1.0,-125.0,-5.0,-125.0,-5.0,-56.0,-126.0,-56.0,-126.0,42.8,-126.0,42.8,-126.0
412,-1.0,0.26,-1.0,-1.0,-5.0,-125.0,-5.0,-125.0,-113.0,-43.0,-113.0,-43.0,-113.0,6.400000000000002,-113.0,6.400000000000002
426,-1.0,0.04,-1.0,-1.0,-5.0,-125.0,-5.0,-125.0,-102.0,-32.0,-102.0,-32.0,-102.0,-24.4,-102.0,-24.4
461,-1.0,0.24,-1.0,-1.0,-5.0,-125.0,-5.0,-125.0,-112.0,-42.0,-112.0,-42.0,-112.0,3.599999999999998,-112.0,3.599999999999998
359,1.0,0.2,-1.0,-1.0,-125.0,-5.0,-125.0,-5.0,-40.0,-110.0,-40.0,-110.0,-2.0,-110.0,-2.0,-110.0
490,-1.0,0.32,-1.0,-1.0,-5.0,-125.0,-5.0,-125.0,-116.0,-46.0,-116.0,-46.0,-116.0,14.800000000000002,-116.0,14.800000000000002
129,-1.0,0.6,1.0,1.0,-65.0,195.0,-65.0,195.0,114.0,184.0,114.0,184.0,0.0,184.0,0.0,184.0
175,-1.0,0.52,1.0,1.0,-65.0,195.0,-65.0,195.0,102.80000000000001,172.8,102.80000000000001,172.8,4.000000000000007,172.8,4.000000000000007,172.8
121,1.0,0.94,1.0,1.0,195.0,-65.0,195.0,-65.0,231.60000000000002,161.6,231.60000000000002,161.6,231.60000000000002,-17.0,231.60000000000002,-17.0
44,1.0,0.4,-1.0,1.0,195.0,-65.0,195.0,-65.0,156.0,86.0,156.0,86.0,156.0,10.0,156.0,10.0
78,1.0,0.08,-1.0,1.0,195.0,-65.0,195.0,-65.0,111.19999999999999,41.2,111.19999999999999,41.2,111.19999999999999,26.0,111.19999999999999,26.0
180,-1.0,0.62,1.0,1.0,-65.0,195.0,-65.0,195.0,116.8,186.8,116.8,186.8,-1.0,186.8,-1.0,186.8
12,1.0,0.76,1.0,1.0,195.0,-65.0,195.0,-65.0,206.39999999999998,136.4,206.39999999999998,136.4,206.39999999999998,-8.0,206.39999999999998,-8.0
138,-1.0,0.78,1.0,1.0,-65.0,195.0,-65.0,195.0,139.2,209.2,139.2,209.2,-9.000000000000014,209.2,-9.000000000000014,209.2
107,1.0,0.16,-1.0,1.0,195.0,-65.0,195.0,-65.0,122.4,52.400000000000006,122.4,52.400000000000006,122.4,22.0,122.4,22.0
496,-1.0,0.44,-1.0,-1.0,-5.0,-125.0,-5.0,-125.0,-122.0,-52.0,-122.0,-52.0,-122.0,31.599999999999998,-122.0,31.599999999999998
445,-1.0,0.9199999999999999,1.0,-1.0,-5.0,-125.0,-5.0,-125.0,-146.0,-76.0,-146.0,-76.0,-146.0,98.79999999999998,-146.0,98.79999999999998
430,-1.0,0.12,-1.0,-1.0,-5.0,-125.0,-5.0,-125.0,-106.0,-36.0,-106.0,-36.0,-106.0,-13.200000000000001,-106.0,-13.200000000000001
357,1.0,0.66,1.0,-1.0,-125.0,-5.0,-125.0,-5.0,-63.0,-133.0,-63.0,-133.0,62.400000000000006,-133.0,62.400000000000006,-133.0
451,-1.0,0.04,-1.0,-1.0,-5.0,-125.0,-5.0,-125.0,-102.0,-32.0,-102.0,-32.0,-102.0,-24.4,-102.0,-24.4
306,1.0,0.14,-1.0,-1.0,-125.0,-5.0,-125.0,-5.0,-37.0,-107.0,-37.0,-107.0,-10.399999999999999,-107.0,-10.399999999999999,-107.0
331,1.0,0.14,-1.0,-1.0,-125.0,-5.0,-125.0,-5.0,-37.0,-107.0,-37.0,-107.0,-10.399999999999999,-107.0,-10.399999999999999,-107.0
499,-1.0,1.0,1.0,-1.0,-5.0,-125.0,-5.0,-125.0,-150.0,-80.0,-150.0,-80.0,-150.0,110.0,-150.0,110.0
319,1.0,0.4,-1.0,-1.0,-125.0,-5.0,-125.0,-5.0,-50.0,-120.0,-50.0,-120.0,26.0,-120.0,26.0,-120.0
419,-1.0,0.4,-1.0,-1.0,-5.0,-125.0,-5.0,-125.0,-120.0,-50.0,-120.0,-50.0,-120.0,26.0,-120.0,26.0
321,1.0,0.44,-1.0,-1.0,-125.0,-5.0,-125.0,-5.0,-52.0,-122.0,-52.0,-122.0,31.599999999999998,-122.0,31.599999999999998,-122.0
178,-1.0,0.58,1.0,1.0,-65.0,195.0,-65.0,195.0,111.19999999999999,181.2,111.19999999999999,181.2,1.0,181.2,1.0,181.2
56,1.0,0.14,-1.0,1.0,195.0,-65.0,195.0,-65.0,119.6,49.599999999999994,119.6,49.599999999999994,119.6,22.999999999999996,119.6,22.999999999999996
163,-1.0,0.28,-1.0,1.0,-65.0,195.0,-65.0,195.0,69.2,139.2,69.2,139.2,16.0,139.2,16.0,139.2
43,1.0,0.88,1.0,1.0,195.0,-65.0,195.0,-65.0,223.2,153.2,223.2,153.2,223.2,-14.0,223.2,-14.0
267,1.0,0.36,-1.0,-1.0,-125.0,-5.0,-125.0,-5.0,-48.0,-118.0,-48.0,-118.0,20.399999999999995,-118.0,20.399999999999995,-118.0
325,1.0,0.52,1.0,-1.0,-125.0,-5.0,-125.0,-5.0,-56.0,-126.0,-56.0,-126.0,42.8,-126.0,42.8,-126.0
367,1.0,0.36,-1.0,-1.0,-125.0,-5.0,-125.0,-5.0,-48.0,-118.0,-48.0,-118.0,20.399999999999995,-118.0,20.399999999999995,-118.0
116,1.0,0.34,-1.0,1.0,195.0,-65.0,195.0,-65.0,147.6,77.6,147.6,77.6,147.6,12.999999999999993,147.6,12.999999999999993
314,1.0,0.3,-1.0,-1.0,-125.0,-5.0,-125.0,-5.0,-45.0,-115.0,-45.0,-115.0,12.0,-115.0,12.0,-115.0
387,-1.0,0.76,1.0,-1.0,-5.0,-125.0,-5.0,-125.0,-138.0,-68.0,-138.0,-68.0,-138.0,76.4,-138.0,76.4
41,1.0,0.8400000000000001,1.0,1.0,195.0,-65.0,195.0,-65.0,217.60000000000002,147.60000000000002,217.60000000000002,147.60000000000002,217.60000000000002,-12.0,217.60000000000002,-12.0
366,1.0,0.34,-1.0,-1.0,-125.0,-5.0,-125.0,-5.0,-47.0,-117.0,-47.0,-117.0,17.600000000000005,-117.0,17.600000000000005,-117.0
434,-1.0,0.7,1.0,-1.0,-5.0,-125.0,-5.0,-125.0,-135.0,-65.0,-135.0,-65.0,-135.0,68.0,-135.0,68.0
444,-1.0,0.4,-1.0,-1.0,-5.0,-125.0,-5.0,-125.0,-120.0,-50.0,-120.0,-50.0,-120.0,26.0,-120.0,26.0
48,1.0,0.48,-1.0,1.0,195.0,-65.0,195.0,-65.0,167.2,97.19999999999999,167.2,97.19999999999999,167.2,5.999999999999993,167.2,5.999999999999993
