,T,Age,AgeTag,Sex,yo1,yo1CF,y1,y1CF,yo2,yo2CF,y2,y2CF,yo3,yo3CF,y3,y3CF
315,1.0,0.04,-1.0,-1.0,-125.0,-5.0,-123.81624532047705,-6.570566849577617,-32.0,-102.0,-28.841135720882562,-114.65019255543191,-24.4,-102.0,-28.080374993538584,-98.03043884692097
159,-1.0,0.56,1.0,1.0,-65.0,195.0,-63.19759071771172,204.00287993550282,108.4,178.4,103.15504573796457,185.68634742649672,2.0,178.4,0.6757394394012577,172.28239542302836
459,1.0,0.2,-1.0,-1.0,-125.0,-5.0,-125.86293602582018,-6.314523562037339,-40.0,-110.0,-45.34682556934834,-116.53339058520265,-2.0,-110.0,-6.326016967232982,-105.77157726288762
449,-1.0,1.0,1.0,-1.0,-5.0,-125.0,-4.764578796990168,-125.26929910786237,-150.0,-80.0,-151.08704590682143,-78.75929560672068,-150.0,110.0,-151.9439847886413,111.27016721249434
164,-1.0,0.74,1.0,1.0,-65.0,195.0,-60.61170432815801,191.68610832392017,133.6,203.60000000000002,138.8625319038316,207.8725079840745,-7.0,203.60000000000002,-16.162346345555633,209.67383001966036
455,1.0,0.14,-1.0,-1.0,-125.0,-5.0,-121.2357501875614,-20.179479324897244,-37.0,-107.0,-34.04034814462258,-107.53667432152443,-10.399999999999999,-107.0,-7.471900062773546,-105.00477186370188
436,-1.0,0.86,1.0,-1.0,-5.0,-125.0,-4.604701057319663,-125.42462024524595,-143.0,-73.0,-131.32477683262013,-85.53981474929927,-143.0,90.4,-142.11381129324596,90.43841069649758
435,-1.0,0.9,1.0,-1.0,-5.0,-125.0,-7.068305073725675,-121.46866560844867,-145.0,-75.0,-146.76456418405664,-75.16849276607326,-145.0,96.0,-139.05930539583963,98.69372085446741
280,-1.0,0.4,-1.0,1.0,-65.0,195.0,-67.83660698406213,191.19047568835606,86.0,156.0,89.44175523005745,155.3566738831806,10.0,156.0,13.65388262812917,153.83793330949598
85,-1.0,0.8400000000000001,1.0,1.0,-65.0,195.0,-61.06775080377597,200.4136671419036,147.60000000000002,217.60000000000002,146.4954568380331,222.774569021814,-12.0,217.60000000000002,-23.06391665209696,206.99384671796236
114,-1.0,0.52,1.0,1.0,-65.0,195.0,-61.027421122643716,189.07049487893838,102.80000000000001,172.8,100.12014802697183,165.4675833654944,4.000000000000007,172.8,3.390006025903137,164.55586257438117
110,1.0,0.14,-1.0,1.0,195.0,-65.0,190.39223207645233,-63.74270540838985,119.6,49.599999999999994,119.98473335623358,50.281854710735836,119.6,22.999999999999996,118.8668132446586,19.993940874709825
8,1.0,0.94,1.0,1.0,195.0,-65.0,189.82598176611498,-63.968393560780434,231.60000000000002,161.6,234.58607031408516,157.61359960251735,231.60000000000002,-17.0,231.2183692556294,-17.7845721552326
241,1.0,0.42,-1.0,1.0,195.0,-65.0,205.5647554381617,-67.66452059240217,158.8,88.8,157.7749138712024,89.25372763390195,158.8,9.0,153.72535502323626,9.170471196325897
180,1.0,0.34,-1.0,1.0,195.0,-65.0,192.704929758538,-70.90416776611326,147.6,77.6,153.7669345523545,76.59480425897881,147.6,12.999999999999993,134.44368136431808,13.29912137462476
